,MSE,R2
StandardScaler(),2.3564122877695595,0.5581385739156903
RobustScaler(),1.4423986911179207,0.7295293587003084
MaxAbsScaler(),1.0552732213074139,0.8021209900764714
PowerTransformer(standardize=False),0.948312441565644,0.8221776851281355
None,0.7692644662702394,0.8557517732077817
normalize,0.895262724940284,0.8321252751840496
MinMax,4.969274992546731,0.06818898110137372
