Compound,InChIKey,CAS,Constants,Types,Temperature
oxygen,MYMOFIZGZYHOMD-UHFFFAOYSA-N,7782-44-7,"['1.3E-05', '1.3E-05', '1.2E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.2E-05', '1.2E-05', '1.2E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.3E-05', '1.2E-05', '1.3E-05', '1.3E-05', '1.4E-04', '1.1E-05', '1.3E-05', '1.2E-05', '1.2E-05', '1.3E-05', '1.2E-05', '1.3E-05', '1.2E-05', '1.3E-05', '1.3E-05', '1.2E-05', '1.2E-05', '1.2E-05', '1.2E-05', '1.3E-05', '1.3E-05', '1.4E-05', '7.9E-06', '1.3E-05', '1.1E-05', '1.2E-05', '1.3E-05', '1.3E-04']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'T', 'C', 'Q', '?', '?', '?', '?', '?']","[1226.85, 1226.85, 1426.85, 1226.85, 1226.85, 1126.85, 1226.85, 1226.85, 1226.85, 1126.85, 1326.85, 1326.85, 1226.85, 1126.85, 1226.85, 1226.85, 25.0, 1126.85, 1126.85, 25.0, 25.0, 1226.85, 926.85, 1326.85, 1226.85, 25.0, 1226.85, 1426.85, 1126.85, 1126.85, 1526.85, 926.85, 1326.85, 1326.85, 1226.85, 25.0, 25.0, 25.0, 1226.85, 25.0, 1226.85, 25.0, 25.0]"
ozone,CBENFWSGALASAD-UHFFFAOYSA-N,10028-15-6,"['1.0E-04', '1.0E-04', '1.0E-04', '1.0E-04', '7.6E-05', '1.1E-04', '1.3E-04', '1.1E-04', '1.1E-04', '9.9E-05', '9.2E-05', '1.2E-04', '1.1E-04', '1.7E-04', '1.2E-04', '9.9E-05', '1.3E-04', '2.0E-04', '8.0E-05', '1.2E-04', '1.2E-04', '1.1E-04', '1.2E-04', '1.2E-04', '9.3E-05', '9.3E-05']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'T', 'X', 'Q', '?', '?']","[2526.85, 2526.85, 2526.85, 2526.85, 3426.85, 2126.85, 1726.85, 25.0, 2026.85, 2326.85, 2326.85, 1126.85, 2026.85, 25.0, 1626.85, 2326.85, 1726.85, 25.0, 2626.85, 3826.85, 25.0, 2326.85, 25.0, 25.0, 2226.85, 2226.85]"
hydrogen atom,YZCKVEUIGOORGS-UHFFFAOYSA-N,12385-13-6,"['2.6E-06', '2.6E-06', '2.6E-06', '2.6E-06', '3.1E-06', '3.4E-06']","['L', 'L', 'L', 'L', 'T', 'E']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
hydrogen,UFHFLCQGNIYNRP-UHFFFAOYSA-N,1333-74-0,"['7.8E-06', '7.7E-06', '7.7E-06', '7.8E-06', '7.8E-06', '7.7E-06', '7.7E-06', '7.2E-06', '7.2E-06', '7.5E-06', '7.8E-06', '7.8E-06', '7.7E-06', '7.7E-06', '7.5E-06', '7.8E-06', '8.5E-06', '7.8E-06', '7.7E-06', '8.3E-06', '6.4E-06', '7.7E-06', '7.7E-06', '7.7E-06']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'R', 'T', 'Q', '?', '?', '?']","[256.85, 216.85000000000002, 216.85000000000002, 326.85, 346.85, 206.85000000000002, 246.85000000000002, 25.0, 25.0, 25.0, 236.85000000000002, 266.85, 1226.85, 226.85000000000002, 276.85, 336.85, -253.14999999999998, 226.85000000000002, 25.0, 25.0, 25.0, 216.85000000000002, 25.0, 226.85000000000002]"
deuterium,UFHFLCQGNIYNRP-VVKOMZTBSA-N,7782-39-0,"['7.9E-06', '7.9E-06', '8.2E-06']","['M', 'M', 'Q']","[446.85, 446.85, 25.0]"
hydroxyl radical,TUJKJAMUKRIRHC-UHFFFAOYSA-N,3352-57-6,"['3.8E-01', '3.8E-01', '3.8E-01', '3.8E-01', '2.9E-01', '3.2E-01', '2.9E-01', '2.5E-01', '2.0E+00', '8.9E+01', '2.5E-01']","['T', 'T', 'T', 'T', 'T', 'T', 'T', 'C', 'C', 'C', 'C']","[25.0, 25.0, 25.0, 25.0, 4026.85, 25.0, 2826.85, 25.0, 25.0, 25.0, 5026.85]"
hydroperoxy radical,MHAJPDPJQMAIIY-UHFFFAOYSA-M,3170-83-0,"['5.7E+01', '6.8E+00', '6.8E+00', '6.8E+00', '6.8E+00', '3.8E+01', '8.9E+01', '8.9E+01', '1.2E+01', '4.6E+01']","['R', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T']","[25.0, 25.0, 25.0, 25.0, 25.0, 5626.85, 25.0, 25.0, 25.0, 4526.85]"
hydrogen peroxide,MHAJPDPJQMAIIY-UHFFFAOYSA-N,7722-84-1,"['8.6E+02', '8.6E+02', '9.5E+02', '9.1E+02', '8.3E+02', '7.6E+02', '9.8E+02', '1.2E+03', '1.1E+03', '8.2E+02', '9.9E+02', '8.5E+02', '6.7E+02', '1.4E+03', '9.6E+02', '7.0E+02', '6.4E+01', '7.0E+02', '7.0E+02']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'T', 'T', 'Q', '?', '?']","[7026.85, 7026.85, 6926.85, 6326.85, 7326.85, 7026.85, 5826.85, 5626.85, 6726.85, 7126.85, 6026.85, 6226.85, 7626.85, 25.0, 6326.85, 6726.85, 25.0, 7026.85, 7026.85]"
nitrogen,IJGRMHOSHXDMSA-UHFFFAOYSA-N,7727-37-9,"['6.4E-06', '6.4E-06', '6.4E-06', '6.4E-06', '6.4E-06', '6.5E-06', '6.5E-06', '6.5E-06', '6.4E-06', '5.4E-06', '6.5E-06', '6.3E-06', '6.4E-06', '6.6E-06', '5.5E-06', '6.4E-06', '6.5E-06', '6.6E-06', '6.5E-06', '5.6E-06', '6.4E-06', '6.3E-06', '6.3E-06', '6.7E-06', '5.8E-06', '6.4E-06', '6.5E-06', '6.5E-06', '7.2E-06', '5.6E-06', '6.4E-06', '6.3E-06', '5.7E-06', '6.3E-06']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'T', 'C', 'Q', '?', '?', '?', '?']","[1026.85, 1026.85, 1326.85, 1026.85, 1026.85, 926.85, 926.85, 926.85, 1026.85, 25.0, 1126.85, 1026.85, 1026.85, 1026.85, 25.0, 1026.85, 1126.85, 25.0, 826.85, 25.0, 926.85, 1926.85, 1026.85, 1126.85, 926.85, 1026.85, 1026.85, 25.0, 25.0, 25.0, 1326.85, 926.85, 25.0, 1026.85]"
ammonia,QGZKDVFQNNGYKY-UHFFFAOYSA-N,7664-41-7,"['5.9E-01', '5.9E-01', '5.9E-01', '5.9E-01', '5.8E-01', '6.0E-01', '1.0E-01', '2.8E-01', '9.9E+00', '6.0E-01', '5.5E-01', '7.7E-01', '7.4E-01', '5.6E-01', '5.7E-01', '5.9E-01', '6.1E-01', '2.9E-01', '2.7E-01', '5.7E-01', '6.1E-01', '5.8E-01', '5.2E-01']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'T', 'T', 'T', 'X', 'Q', '?', '?', '?', '?', '?']","[3926.85, 3926.85, 3926.85, 3926.85, 4126.85, 3926.85, 1226.85, 2926.85, 6326.85, 3926.85, 3826.85, 25.0, 3426.85, 3926.85, 3826.85, 3826.85, 25.0, 25.0, 2126.85, 25.0, 3826.85, 3826.85, 25.0]"
hydrazoic acid,JUINSXZKUKVTMD-UHFFFAOYSA-N,7782-79-8,"['1.2E-01', '9.8E-02', '1.2E-01', '9.9E-02', '1.2E-01', '7.6E-01']","['L', 'L', 'M', 'M', 'M', 'Q']","[3526.85, 2826.85, 3426.85, 25.0, 3926.85, 25.0]"
hydrazine,OAKJQQAXSVQMHS-UHFFFAOYSA-N,302-01-2,['1.6E+01'],['V'],[25.0]
dinitrogen monoxide,GQPLMRYTRLFLPF-UHFFFAOYSA-N,10024-97-2,"['2.4E-04', '2.1E-04', '2.4E-04', '2.1E-04', '2.4E-04', '2.4E-04', '2.4E-04', '2.4E-04', '2.4E-04', '1.8E-04', '2.5E-04', '2.4E-04', '2.5E-04', '2.4E-04', '1.9E-04', '2.4E-04', '1.4E-04', '2.2E-04', '2.4E-04', '2.4E-04', '2.4E-04', '2.4E-04', '2.3E-04', '2.5E-04', '2.6E-04', '1.7E-04', '3.0E-04', '1.7E-04', '2.8E-04', '2.2E-04', '2.4E-04', '1.8E-04', '2.4E-04', '2.5E-04', '2.5E-04']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'X', 'X', 'X', 'X', 'C', 'Q', '?', '?', '?', '?', '?']","[2326.85, 2326.85, 2326.85, 2326.85, 2426.85, 2326.85, 2326.85, 2226.85, 2326.85, 25.0, 2226.85, 2226.85, 2026.85, 25.0, 25.0, 2126.85, 25.0, 25.0, 25.0, 2226.85, 2126.85, 2426.85, 2626.85, 2326.85, 2226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 2226.85, 25.0, 2526.85, 25.0, 25.0]"
nitrogen monoxide,MWUXSHHQAYIFBG-UHFFFAOYSA-N,10102-43-9,"['1.9E-05', '1.9E-05', '1.9E-05', '1.9E-05', '1.9E-05', '1.3E-05', '2.3E-05', '1.9E-05', '1.9E-05', '3.4E-05', '1.9E-05', '1.5E-05', '1.9E-05', '1.9E-05', '1.9E-05', '1.9E-05']","['L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'T', 'C', 'Q', '?', '?', '?', '?']","[1326.85, 1326.85, 1326.85, 1226.85, 1126.85, 25.0, 25.0, 1226.85, 1126.85, 25.0, 1026.85, 25.0, 1126.85, 1226.85, 25.0, 25.0]"
nitrogen dioxide,JCXJVPUVTGWSNB-UHFFFAOYSA-N,10102-44-0,"['1.2E-04', '1.2E-04', '9.9E-05', '1.2E-04', '1.4E-04', '1.2E-04', '1.2E-04', '6.9E-05', '2.3E-04', '1.2E-04', '3.4E-04', '9.9E-05', '9.9E-05', '4.0E-04']","['L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'T', 'T', '?', '?', '?']","[2126.85, 2126.85, 25.0, 2126.85, 25.0, 25.0, 2126.85, 25.0, 25.0, 2226.85, 1526.85, 25.0, 25.0, 25.0]"
nitrogen trioxide,YPJKMVATUPSWOH-UHFFFAOYSA-N,12033-49-7,"['1.8E-02', '5.9E-03', '3.8E-04', '3.8E-04', '3.8E-04', '3.8E-04', '1.2E-01', '3.4E-04']","['M', 'M', 'T', 'T', 'T', 'T', 'T', 'T']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 1626.85, 1726.85]"
dinitrogen trioxide,LZDSILRDTDCIQT-UHFFFAOYSA-N,10544-73-7,"['5.9E-03', '2.5E-01']","['L', 'M']","[25.0, 25.0]"
dinitrogen tetroxide,WFPZPJSADLPSON-UHFFFAOYSA-N,10544-72-6,"['1.4E-02', '2.0E-02', '1.6E-02', '3.1E-02', '1.3E-02']","['L', 'M', 'M', 'M', 'M']","[25.0, 25.0, 3226.85, 25.0, 826.85]"
dinitrogen pentoxide,ZWWCURLKEXEFQT-UHFFFAOYSA-N,10102-03-1,"['3.0E-02', '3.9E-03', '4.9E-03', '8.7E-04', '3.9E-02', '4.9E-02']","['T', 'T', 'T', 'T', 'Q', 'E']","[25.0, 25.0, 25.0, 3326.85, 4026.85, 25.0]"
hydroxylamine,AVXURJPOCDRRFD-UHFFFAOYSA-N,7803-49-8,['1.4E+03'],['Q'],[25.0]
nitrous acid,IOVCWXUNBOPUCH-UHFFFAOYSA-N,7782-77-6,"['4.8E-01', '4.7E-01', '4.7E-01', '4.8E-01', '3.7E-01', '4.7E-01', '4.8E-01', '4.8E-01']","['L', 'M', 'M', 'M', 'M', 'T', 'T', '?']","[4526.85, 4626.85, 4626.85, 4626.85, 8726.85, 4426.85, 4526.85, 25.0]"
nitric acid,GRYLNZFGIOXLOG-UHFFFAOYSA-N,7697-37-2,"['8.8E+02', '2.1E+03', '2.6E+04', '2.1E+03', '2.1E+03', '2.1E+03', '3.4E+03']","['V', 'R', 'T', 'T', '?', '?', '?']","[25.0, 8426.85, 8426.85, 25.0, 25.0, 25.0, 8526.85]"
pernitric acid,UUZZMWZGAZGXSF-UHFFFAOYSA-N,26404-66-0,"['3.9E-01', '3.9E+01', '1.2E+02', '1.4E+02', '2.0E+02']","['L', 'M', 'T', 'C', 'C']","[8126.85, 25.0, 6626.85, 25.0, -273.15]"
fluorine atom,YCKRFDGAMUMZLT-UHFFFAOYSA-N,14762-94-8,['2.0E-04'],['T'],[126.85000000000002]
hydrogen fluoride,KRHYYFGTRYWZRS-UHFFFAOYSA-N,7664-39-3,"['1.3E+02', '6.8E-04']","['M', 'Q']","[25.0, 25.0]"
difluorine monoxide,UJMWVICAENGCRF-UHFFFAOYSA-N,7783-41-7,['2.9E-05'],['C'],[25.0]
nitrogen trifluoride,GVGCUCJTUSOZKP-UHFFFAOYSA-N,7783-54-2,"['7.9E-06', '7.9E-06', '7.9E-06', '7.9E-06', '7.7E-06', '7.8E-06']","['L', 'L', 'L', 'L', 'M', 'M']","[1626.85, 1626.85, 1626.85, 1626.85, 1426.85, 1626.85]"
dinitrogen tetrafluoride,GFADZIUESKAXAK-UHFFFAOYSA-N,10036-47-2,"['8.4E-06', '8.4E-06', '8.4E-06', '8.4E-06', '8.4E-06']","['L', 'L', 'L', 'L', 'M']","[2226.85, 2226.85, 2226.85, 2226.85, 2126.85]"
chlorine (molecular),KZBUYRJDOAKODT-UHFFFAOYSA-N,7782-50-5,"['6.1E-04', '6.2E-04', '6.0E-04', '7.4E-04', '5.9E-04', '6.1E-04', '8.7E-04']","['M', 'M', 'M', 'R', 'R', 'T', 'Q']","[2926.85, 3226.85, 2726.85, 2326.85, 25.0, 2526.85, 25.0]"
chlorine atom,ZAMOUSCENKQFHK-UHFFFAOYSA-N,22537-15-1,"['2.3E-02', '2.3E-02', '2.3E-02', '2.3E-02', '2.0E-03', '1.5E-04']","['T', 'T', 'T', 'T', 'T', 'T']","[25.0, 25.0, 25.0, 25.0, 25.0, 1226.85]"
hydrogen chloride,VEXZGXHMUGYJMC-UHFFFAOYSA-N,7647-01-0,"['1.5E+01', '1.1E-02', '2.0E-01', '2.4E-01', '1.9E-01', '7.2E+00', '2.5E+01']","['R', 'T', 'C', 'Q', '?', '?', '?']","[25.0, 2026.85, 25.0, 25.0, 346.85, 1726.85, 25.0]"
hypochlorous acid,QWPPOHNGKGFGJK-UHFFFAOYSA-N,7790-92-3,"['6.5E+00', '6.5E+00', '6.5E+00', '6.5E+00', '6.5E+00', '9.1E+00', '4.7E+00', '9.0E+00', '6.0E+00', '1.2E+01', '6.4E+00', '2.6E+00', '5.4E+00']","['L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'T', 'Q']","[5626.85, 5626.85, 5626.85, 5626.85, 5626.85, 25.0, 1326.85, 25.0, 4626.85, 4926.85, 8626.85, 4826.85, 25.0]"
perchloric acid,VLTRZXGMWDSKGL-UHFFFAOYSA-N,7601-90-3,['9.9E+03'],['E'],[25.0]
monochlorine monoxide,MLWGAEVSWJXOQJ-UHFFFAOYSA-N,14989-30-1,"['7.0E-03', '7.0E-03', '7.0E-03', '7.0E-03']","['T', 'T', 'T', 'T']","[25.0, 25.0, 25.0, 25.0]"
dichlorine monoxide,RCJVRSBWZCNNQT-UHFFFAOYSA-N,7791-21-1,"['3.4E-02', '7.6E-02', '7.0E-02']","['R', 'R', 'R']","[5626.85, 5326.85, 25.0]"
chlorine dioxide,OSVXSBDYLRYLIG-UHFFFAOYSA-N,10049-04-4,"['1.0E-02', '1.0E-02', '1.0E-02', '1.0E-02', '1.0E-02', '1.0E-02', '1.0E-02', '1.1E-02', '1.0E-02', '6.6E-03', '9.7E-03', '1.1E-02', '9.7E-03', '1.0E-02']","['L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', '?', '?', '?']","[3226.85, 3226.85, 3226.85, 3226.85, 3026.85, 3026.85, 2926.85, 2826.85, 25.0, 926.85, 3326.85, 2826.85, 25.0, 3026.85]"
perchloryl fluoride,XHFXMNZYIKFCPN-UHFFFAOYSA-N,7616-94-6,['4.4E-05'],['Q'],[25.0]
nitrosyl chloride,VPCDQGACGWYTMC-UHFFFAOYSA-N,2696-92-6,"['4.9E-04', '4.9E-04', '4.9E-04']","['L', 'L', 'M']","[25.0, 25.0, 25.0]"
nitryl chloride,HSSFHZJIMRUXDM-UHFFFAOYSA-M,13444-90-1,"['4.5E-04', '2.4E-04', '3.9E-04']","['E', 'E', '?']","[25.0, 25.0, 25.0]"
chlorine nitrate,XYLGPCWDPLOBGP-UHFFFAOYSA-N,14545-72-3,['7.0E-02'],['Q'],[4226.85]
chloramine,QDHHCQZDFGDHMP-UHFFFAOYSA-N,10599-90-3,"['8.6E-01', '8.6E-01', '8.6E-01', '8.6E-01', '9.2E-01', '4.6E-05']","['L', 'L', 'L', 'L', 'M', 'Q']","[5726.85, 5726.85, 5726.85, 5726.85, 4526.85, 25.0]"
dichloramine,JSYGRUBHOCKMGQ-UHFFFAOYSA-N,3400-09-7,"['2.9E-01', '2.9E-01', '2.9E-01', '2.9E-01', '2.8E-01']","['L', 'L', 'L', 'L', 'M']","[3926.85, 3926.85, 3926.85, 3926.85, 3926.85]"
nitrogen trichloride,QEHKBHWEUPXBCW-UHFFFAOYSA-N,10025-85-1,"['9.9E-04', '9.9E-04', '9.9E-04', '9.9E-04', '9.9E-04']","['L', 'L', 'L', 'L', 'M']","[3826.85, 3826.85, 3826.85, 3826.85, 3826.85]"
bromine (molecular),GDTBXPJZTBHREO-UHFFFAOYSA-N,7726-95-6,"['7.2E-03', '7.2E-03', '7.2E-03', '7.2E-03', '1.8E-02', '6.8E-03', '9.6E-03', '7.0E-03', '1.4E-02', '7.8E-03', '7.9E-03', '8.3E-03', '7.9E-03', '7.2E-03', '9.2E-03', '7.6E-03', '7.5E-03']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'R', 'T', 'X', '?', '?']","[4126.85, 4126.85, 4126.85, 4126.85, 3326.85, 25.0, 25.0, 3826.85, 25.0, 3526.85, 3326.85, 3826.85, 3626.85, 3726.85, 25.0, 25.0, 3626.85]"
bromine atom,WKBOTKDWSSQWDR-UHFFFAOYSA-N,10097-32-2,"['1.2E-02', '3.4E-04']","['T', 'T']","[25.0, 1526.85]"
hydrogen bromide,CPELXLSAUQHCOX-UHFFFAOYSA-N,10035-10-6,"['6.8E-02', '2.4E-01']","['Q', '?']","[25.0, -23.149999999999977]"
hypobromous acid,CUILPNURFADTPE-UHFFFAOYSA-N,13517-11-8,"['1.3E+01', '1.3E+01', '1.9E+01', '1.9E+01', '1.8E-02', '6.0E+01', '9.1E-01']","['L', 'L', 'M', 'M', 'T', 'E', 'E']","[25.0, 25.0, 25.0, 25.0, 3726.85, 25.0, 25.0]"
nitryl bromide,SEYAFCXQVVHRPY-UHFFFAOYSA-M,13536-70-4,['3.0E-03'],['E'],[25.0]
bromine nitrate,RRTWEEAEXPZMPY-UHFFFAOYSA-N,40423-14-1,[],[],[]
bromine chloride,CODNYICXDISAEA-UHFFFAOYSA-N,13863-41-7,"['9.7E-03', '9.7E-03', '9.7E-03', '9.7E-03', '6.2E-02', '1.5E-02', '9.3E-03', '4.2E-02', '1.1E-02', '6.9E-04', '5.8E-03']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'T', 'E', 'E']","[5326.85, 5326.85, 5326.85, 5326.85, 25.0, 25.0, 5326.85, 3726.85, 25.0, 3726.85, 25.0]"
iodine (molecular),PNDPGZBMCMUPRI-UHFFFAOYSA-N,7553-56-2,"['2.8E-02', '2.8E-02', '3.0E-02', '3.1E-02', '3.2E-02', '1.1E-02']","['M', 'V', 'R', 'R', 'T', 'C']","[4026.85, 3626.85, 4126.85, 4326.85, 4526.85, 25.0]"
iodine atom,ZCYVEMRRCGMTRW-UHFFFAOYSA-N,14362-44-8,"['7.9E-04', '6.2E-05']","['T', 'T']","[25.0, 2026.85]"
hydrogen iodide,XMBWDFGMSWQBCA-UHFFFAOYSA-N,10034-85-2,['2.5E-01'],['E'],[9526.85]
iodine monoxide,AFSVSXMRDKPOEW-UHFFFAOYSA-N,14696-98-1,['4.4E+00'],['?'],[25.0]
iodine dioxide,WXDJHDMIIZKXSK-UHFFFAOYSA-N,13494-92-3,['9.9E+01'],['?'],[25.0]
diiodine dioxide,IELAHHPSAVYAOC-UHFFFAOYSA-N,215239-62-6,['9.9E+01'],['?'],[25.0]
diiodine trioxide,NMNCVPKLBXOKQA-UHFFFAOYSA-N,11085-17-9,['9.9E+01'],['?'],[25.0]
diiodine tetroxide,XHTWXUOEQMOFEJ-UHFFFAOYSA-N,1024652-24-1,['9.9E+01'],['?'],[25.0]
hypoiodous acid,GEOVEUCEIQCBKH-UHFFFAOYSA-N,14332-21-9,['4.1E+00'],['C'],[25.0]
iodine nitrite,PSZTWRLUACEPOW-UHFFFAOYSA-N,15465-40-4,['3.0E-03'],['E'],[25.0]
iodine nitrate,CCJHDZZUWZIVJF-UHFFFAOYSA-N,14696-81-2,[],[],[]
iodine chloride,QZRGKCOWNLSUDK-UHFFFAOYSA-N,7790-99-0,['1.1E+00'],['T'],[25.0]
iodine bromide,CBEQRNSPHCCXSH-UHFFFAOYSA-N,7789-33-5,['2.4E-01'],['T'],[25.0]
sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,7704-34-9,['2.0E+01'],['?'],[25.0]
hydrogen sulfide,RWSOTUBLDIXVET-UHFFFAOYSA-N,7783-06-4,"['1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '1.0E-03', '9.1E-04', '9.2E-04', '8.6E-04', '1.1E-03', '1.2E-03', '9.4E-04', '1.0E-03', '1.0E-03', '1.0E-03', '1.1E-03', '9.6E-04', '1.0E-03', '1.0E-03', '7.0E-04', '1.0E-03', '1.0E-03']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'R', 'R', 'T', 'Q', '?', '?']","[1826.85, 1826.85, 1826.85, 1826.85, 1726.85, 1926.85, 1726.85, 1726.85, 1826.85, 1826.85, 1426.85, 1326.85, 1826.85, 2026.85, 1426.85, 2026.85, 1826.85, 2026.85, 1826.85, 1726.85, 1726.85, 25.0, 2026.85, 25.0, 1726.85, 1826.85]"
deuterium sulfide,RWSOTUBLDIXVET-ZSJDYOACSA-N,13536-94-2,['9.9E-04'],['M'],[1826.85]
sulfur dioxide,RAHZWNYVWXNFOC-UHFFFAOYSA-N,7446-09-5,"['1.3E-02', '1.3E-02', '1.3E-02', '1.3E-02', '1.2E-02', '1.3E-02', '1.2E-02', '1.2E-02', '1.4E-02', '4.0E-01', '1.2E-02', '1.4E-02', '1.1E-02', '1.2E-02', '1.2E-02', '1.2E-02', '1.2E-02', '1.2E-02', '2.9E-02', '1.3E-02', '1.5E-02', '1.2E-02', '1.2E-02']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'V', 'T', 'T', 'X', 'C', 'C', 'Q', '?', '?', '?', '?']","[2626.85, 2626.85, 2626.85, 2626.85, 2826.85, 2626.85, 2926.85, 2726.85, 2526.85, 25.0, 2826.85, 3126.85, 926.85, 2826.85, 2826.85, 25.0, 2826.85, 3026.85, 25.0, 2626.85, 2826.85, 2826.85, 2826.85]"
sulfur trioxide,AKEJUJNQAAGONA-UHFFFAOYSA-N,7446-11-9,['5.1E-08'],['Q'],[25.0]
sulfuric acid,QAOWNCQODCNURD-UHFFFAOYSA-N,7664-93-9,"['1.3E+13', '2.9E+07']","['T', 'T']","[19726.85, 9726.85]"
sulfur hexafluoride,SFZCNBIFKDRMGX-UHFFFAOYSA-N,2551-62-4,"['2.4E-06', '2.5E-06', '2.4E-06', '2.3E-06', '1.4E-06', '2.4E-06', '2.5E-06', '1.7E-06', '1.7E-06', '2.4E-06', '2.2E-06', '2.2E-06', '2.6E-06', '2.2E-05', '2.6E-05', '2.2E-06', '2.4E-06', '1.9E-06']","['L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'Q', 'Q', 'Q', '?', '?', '?']","[2826.85, 1826.85, 2126.85, 2426.85, 25.0, 25.0, -13.149999999999977, 25.0, 25.0, 2126.85, 3226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 2126.85, 25.0]"
sulfuryl fluoride,OBTWBSRJZRCYQV-UHFFFAOYSA-N,2699-79-8,"['8.9E-05', '7.3E-05', '3.2E+00', '6.3E-06']","['M', 'V', 'Q', '?']","[2826.85, 25.0, 25.0, 25.0]"
helium,SWQJXJOGLNCZEY-UHFFFAOYSA-N,7440-59-7,"['3.9E-06', '3.8E-06', '3.8E-06', '3.8E-06', '3.7E-06', '3.9E-06', '3.7E-06', '3.8E-06', '3.8E-06', '3.7E-06', '6.3E-06', '3.7E-06', '5.3E-06', '4.5E-06', '3.3E-06', '3.3E-06', '3.9E-06', '3.8E-06', '3.9E-06', '3.7E-06', '3.8E-06']","['L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'T', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[-258.15, -190.14999999999998, -190.14999999999998, -181.14999999999998, 46.85000000000002, -204.14999999999998, -153.14999999999998, 25.0, -63.14999999999998, 106.85000000000002, -973.15, -53.14999999999998, 25.0, 25.0, -269.15, -202.14999999999998, 25.0, -190.14999999999998, 25.0, -73.14999999999998, 25.0]"
neon,GKAOGPIIYCISHV-UHFFFAOYSA-N,7440-01-9,"['4.5E-06', '4.4E-06', '4.5E-06', '4.4E-06', '4.5E-06', '4.4E-06', '4.3E-06', '4.5E-06', '4.6E-06', '6.6E-06', '4.5E-06', '8.8E-06', '4.5E-06', '3.4E-06', '4.7E-06', '3.6E-06', '4.5E-06', '4.4E-06', '4.5E-06', '4.4E-06']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'T', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[156.85000000000002, 196.85000000000002, 196.85000000000002, 176.85000000000002, 166.85000000000002, 236.85000000000002, 25.0, 186.85000000000002, -236.14999999999998, -1263.15, 236.85000000000002, 25.0, 25.0, -23.149999999999977, 196.85000000000002, 25.0, 196.85000000000002, 25.0, 276.85, 25.0]"
