Compound,InChIKey,Constants,Types,Temperature
hydrazoic acid,JUINSXZKUKVTMD-UHFFFAOYSA-N,"['1.2E-01', '9.8E-02', '1.2E-01', '9.9E-02', '1.2E-01', '7.6E-01']","['L', 'L', 'M', 'M', 'M', 'Q']","[3526.85, 2826.85, 3426.85, 25.0, 3926.85, 25.0]"
hydrazine,OAKJQQAXSVQMHS-UHFFFAOYSA-N,['1.6E+01'],['V'],[25.0]
dinitrogen monoxide,GQPLMRYTRLFLPF-UHFFFAOYSA-N,"['2.4E-04', '2.1E-04', '2.4E-04', '2.1E-04', '2.4E-04', '2.4E-04', '2.4E-04', '2.4E-04', '2.4E-04', '1.8E-04', '2.5E-04', '2.4E-04', '2.5E-04', '2.4E-04', '1.9E-04', '2.4E-04', '1.4E-04', '2.2E-04', '2.4E-04', '2.4E-04', '2.4E-04', '2.4E-04', '2.3E-04', '2.5E-04', '2.6E-04', '1.7E-04', '3.0E-04', '1.7E-04', '2.8E-04', '2.2E-04', '2.4E-04', '1.8E-04', '2.4E-04', '2.5E-04', '2.5E-04']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'X', 'X', 'X', 'X', 'C', 'Q', '?', '?', '?', '?', '?']","[2326.85, 2326.85, 2326.85, 2326.85, 2426.85, 2326.85, 2326.85, 2226.85, 2326.85, 25.0, 2226.85, 2226.85, 2026.85, 25.0, 25.0, 2126.85, 25.0, 25.0, 25.0, 2226.85, 2126.85, 2426.85, 2626.85, 2326.85, 2226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 2226.85, 25.0, 2526.85, 25.0, 25.0]"
nitrogen monoxide,MWUXSHHQAYIFBG-UHFFFAOYSA-N,"['1.9E-05', '1.9E-05', '1.9E-05', '1.9E-05', '1.9E-05', '1.3E-05', '2.3E-05', '1.9E-05', '1.9E-05', '3.4E-05', '1.9E-05', '1.5E-05', '1.9E-05', '1.9E-05', '1.9E-05', '1.9E-05']","['L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'T', 'C', 'Q', '?', '?', '?', '?']","[1326.85, 1326.85, 1326.85, 1226.85, 1126.85, 25.0, 25.0, 1226.85, 1126.85, 25.0, 1026.85, 25.0, 1126.85, 1226.85, 25.0, 25.0]"
nitrogen dioxide,JCXJVPUVTGWSNB-UHFFFAOYSA-N,"['1.2E-04', '1.2E-04', '9.9E-05', '1.2E-04', '1.4E-04', '1.2E-04', '1.2E-04', '6.9E-05', '2.3E-04', '1.2E-04', '3.4E-04', '9.9E-05', '9.9E-05', '4.0E-04']","['L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'T', 'T', '?', '?', '?']","[2126.85, 2126.85, 25.0, 2126.85, 25.0, 25.0, 2126.85, 25.0, 25.0, 2226.85, 1526.85, 25.0, 25.0, 25.0]"
nitrogen trioxide,YPJKMVATUPSWOH-UHFFFAOYSA-N,"['1.8E-02', '5.9E-03', '3.8E-04', '3.8E-04', '3.8E-04', '3.8E-04', '1.2E-01', '3.4E-04']","['M', 'M', 'T', 'T', 'T', 'T', 'T', 'T']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 1626.85, 1726.85]"
dinitrogen trioxide,LZDSILRDTDCIQT-UHFFFAOYSA-N,"['5.9E-03', '2.5E-01']","['L', 'M']","[25.0, 25.0]"
dinitrogen tetroxide,WFPZPJSADLPSON-UHFFFAOYSA-N,"['1.4E-02', '2.0E-02', '1.6E-02', '3.1E-02', '1.3E-02']","['L', 'M', 'M', 'M', 'M']","[25.0, 25.0, 3226.85, 25.0, 826.85]"
dinitrogen pentoxide,ZWWCURLKEXEFQT-UHFFFAOYSA-N,"['3.0E-02', '3.9E-03', '4.9E-03', '8.7E-04', '3.9E-02', '4.9E-02']","['T', 'T', 'T', 'T', 'Q', 'E']","[25.0, 25.0, 25.0, 3326.85, 4026.85, 25.0]"
hydroxylamine,AVXURJPOCDRRFD-UHFFFAOYSA-N,['1.4E+03'],['Q'],[25.0]
