Compound,InChIKey,Constants,Types,Temperature
1-propanol,BDERNNFJNOPAEC-UHFFFAOYSA-N,"['1.4E+00', '1.4E+00', '1.5E+00', '1.4E+00', '1.3E+00', '1.4E+00', '1.4E+00', '1.5E+00', '1.5E+00', '1.2E+00', '1.5E+00', '3.2E-01', '3.2E-01', '6.5E-01', '1.2E+00', '2.7E+00', '1.5E+00', '7.2E-01', '1.4E+00', '1.3E+00', '1.8E+00', '3.7E+00', '1.5E+00', '1.6E+00', '1.4E+00', '3.1E-02', '1.8E+00', '8.0E-02', '1.5E+00', '1.2E+00', '1.2E+00', '1.5E+00', '9.0E-01', '1.2E+00', '2.5E-01', '1.3E+00', '1.2E+00', '1.2E+00', '7.8E-01', '1.2E+00', '7.0E-01', '1.1E+00', '1.2E+00', '1.1E+00', '1.2E+00', '1.7E+00', '1.2E+00', '1.1E+00', '1.1E+00', '1.2E+00', '1.3E+00', '1.3E+00', '6.0E-01', '1.1E+00', '1.5E+00']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'T', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?', '?']","[6626.85, 6626.85, 6726.85, 6626.85, 7226.85, 6626.85, 5926.85, 6626.85, 25.0, 5926.85, 25.0, 25.0, 25.0, 25.0, 5926.85, 25.0, 25.0, 25.0, 25.0, 7226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 7426.85, 4226.85, 6626.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-propanol,KFZMGEQAYNKOFK-UHFFFAOYSA-N,"['1.2E+00', '1.2E+00', '1.2E+00', '1.3E+00', '1.3E+00', '1.2E+00', '1.2E+00', '1.1E+00', '6.8E-01', '1.3E+00', '1.8E-01', '1.0E-03', '5.7E-01', '1.1E+00', '9.2E-01', '1.2E+00', '5.8E-01', '7.9E-01', '1.4E+00', '9.8E-01', '1.2E+00', '2.1E+00', '1.2E+00', '1.2E+00', '1.2E+00', '1.2E+00', '1.7E+00', '7.6E-01', '2.4E+00', '1.2E+00', '9.0E-01', '4.8E-01', '2.8E-01', '1.0E+00', '1.2E+00', '1.2E+00', '6.2E-01', '1.2E+00', '4.3E-01', '7.0E-01', '7.7E-01', '1.0E+00', '1.1E+00', '8.9E-01', '1.4E+00', '9.7E-01', '1.1E+00', '1.3E+00', '1.2E+00', '8.0E-01', '5.0E-01', '8.8E-01', '1.2E+00']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'R', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?', '?']","[6826.85, 6826.85, 6626.85, 7226.85, 7226.85, 5926.85, 6726.85, 8126.85, 25.0, 7026.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 5426.85, 25.0, 25.0, 7126.85, 25.0, 25.0, 25.0, 6826.85, 7326.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
glycidol,CTKINSOISVBQLD-UHFFFAOYSA-N,['1.7E+03'],['Q'],[25.0]
1-butanol,LRHPLDYGYMQRHN-UHFFFAOYSA-N,"['1.2E+00', '1.2E+00', '1.2E+00', '1.2E+00', '1.3E+00', '1.2E+00', '1.1E+00', '1.2E+00', '1.0E+00', '2.0E+00', '1.0E+00', '1.3E+00', '1.1E+00', '8.2E-01', '9.4E-01', '4.5E-01', '4.4E-01', '4.8E-01', '1.1E+00', '8.2E-01', '1.2E+00', '5.5E-01', '1.1E+00', '1.4E-01', '5.1E-01', '1.1E+00', '6.1E-01', '1.2E+00', '5.3E-01', '1.2E+00', '1.1E+00', '1.1E+00', '1.4E+00', '1.2E+00', '1.1E+00', '1.1E+00', '7.3E-01', '8.3E-01', '2.2E-01', '1.2E+00', '1.2E+00', '1.2E+00', '9.4E-01', '1.9E+00', '1.2E+00', '1.3E+00', '2.0E-01', '9.1E-01', '1.3E+00', '1.2E+00', '9.4E-01', '7.8E-01', '6.2E-01', '9.9E-01', '5.6E-01', '1.0E+00', '1.2E+00', '1.1E+00', '9.5E-01', '1.8E+00', '1.1E+00', '8.6E-01', '8.4E-01', '9.9E-01', '1.1E+00', '1.1E+00', '1.2E+00', '1.8E+00']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[7226.85, 7226.85, 7226.85, 7226.85, 6926.85, 7226.85, 6026.85, 7126.85, 6726.85, 25.0, 6526.85, 25.0, 5726.85, 5926.85, 5826.85, 25.0, 25.0, 25.0, 25.0, 5926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 5326.85, 6926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 4426.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-butanol,BTANRVKWQNVYAZ-UHFFFAOYSA-N,"['1.1E+00', '1.1E+00', '9.5E-01', '1.1E+00', '1.1E+00', '1.0E+00', '9.9E-01', '8.3E-01', '1.1E+00', '9.8E-01', '9.6E-01', '9.5E-01', '1.1E+00', '1.1E+00', '9.1E-01', '6.7E-01', '1.1E+00', '1.2E+00', '1.2E+00', '5.1E-01', '2.3E-01', '8.9E-01', '7.3E-01', '7.8E-01', '4.9E-01', '9.9E-01', '3.9E-01', '4.9E-01', '1.2E+00', '6.2E-01', '8.4E-01', '5.7E-01', '1.2E+00', '7.7E-01', '9.0E-01', '1.1E+00', '1.2E+00', '9.9E-01']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'T', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[7326.85, 7326.85, 7326.85, 7026.85, 7026.85, 7126.85, 7326.85, 25.0, 7026.85, 25.0, 25.0, 7326.85, 25.0, 25.0, 7226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methyl-1-propanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,"['8.3E-01', '8.3E-01', '8.0E-01', '1.0E+00', '1.0E+00', '8.5E-01', '1.2E+00', '2.2E-01', '6.7E-01', '1.1E+00', '3.7E-01', '7.8E-01', '4.4E-01', '1.0E+00', '8.0E-01', '8.3E-01', '9.2E-01', '7.6E-01', '7.3E-01', '7.3E-01', '7.3E-01', '1.2E+00', '5.1E-01', '2.3E-01', '9.1E-01', '7.6E-01', '7.8E-01', '6.2E-01', '9.9E-01', '5.1E-01', '6.1E-01', '3.7E-01', '6.2E-01', '5.7E-01', '1.8E+00', '8.3E-01', '7.7E-01', '8.4E-01', '1.0E+00', '8.4E-01', '3.1E-01', '8.0E-01', '9.6E-01']","['L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?', '?']","[6926.85, 6926.85, 7126.85, 25.0, 25.0, 6926.85, 25.0, 25.0, 5826.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 6926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methyl-2-propanol,DKGAVHZHDRPRBM-UHFFFAOYSA-N,"['7.9E-01', '6.9E-01', '6.9E-01', '7.9E-01', '1.4E+00', '1.1E+00', '8.1E-01', '6.8E-01', '7.6E-01', '8.3E-01', '8.0E-01', '2.4E-01', '8.0E-01', '2.0E+00', '1.2E+00', '2.2E-01', '1.6E-01', '6.6E-01', '1.1E+00', '7.8E-01', '3.1E-01', '9.9E-01', '2.2E-01', '4.1E-01', '7.9E-01', '2.9E-01', '9.0E-01', '7.5E-01', '7.3E-01', '3.0E-01', '6.1E-01', '7.0E-01', '1.1E+00', '5.7E-01', '7.7E-01']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'X', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[7326.85, 8026.85, 8026.85, 7426.85, 7626.85, 25.0, 25.0, 8026.85, 25.0, 25.0, 7426.85, 25.0, 6226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
1-pentanol,AMQJEAYHLZJPGS-UHFFFAOYSA-N,"['8.6E-01', '1.0E+00', '8.9E-01', '8.1E-01', '7.5E-01', '9.4E-01', '9.5E-01', '7.7E-01', '4.2E-01', '8.4E-01', '9.0E-01', '7.8E-01', '8.3E-01', '8.3E-01', '6.1E-01', '7.8E-01', '7.6E-01', '7.6E-01', '7.3E-01', '1.6E+00', '1.4E+00', '1.8E-01', '6.6E-01', '9.1E-01', '6.2E-01', '3.9E-01', '7.8E-01', '4.5E-01', '7.6E-01', '7.9E-01', '5.3E-01', '7.7E-01', '1.3E+00', '7.7E-01', '6.2E-01', '6.5E-01', '7.9E-01', '7.6E-01', '7.7E-01', '8.1E-01', '9.0E-01', '9.6E-01']","['L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?', '?']","[7126.85, 7626.85, 7526.85, 6826.85, 5826.85, 6526.85, 6626.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 4626.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-pentanol,JYVLIDXNZAXMDK-UHFFFAOYSA-N,"['6.7E-01', '6.5E-01', '7.1E-01', '3.0E-01', '2.6E-01', '2.3E-01', '6.6E-01', '6.7E-01', '6.6E-01', '6.6E-01', '6.5E-01', '7.6E-01', '1.6E+00', '5.3E-01', '1.8E-01', '6.3E-01', '6.2E-01', '6.2E-01', '3.9E-01', '7.8E-01', '3.1E-01', '3.5E-01', '6.7E-01', '6.4E-01', '7.0E-01', '9.0E-01', '6.5E-01', '5.8E-01', '7.2E-01', '6.7E-01', '6.5E-01', '6.7E-01']","['L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[7626.85, 7726.85, 7726.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-pentanol,AQIXEPGDORPWBJ-UHFFFAOYSA-N,"['6.0E-01', '5.5E-01', '6.4E-01', '5.0E-01', '6.3E-01', '5.3E-01', '1.8E-01', '6.6E-01', '2.3E-01', '6.2E-01', '3.9E-01', '7.8E-01', '3.2E-01', '5.2E-01', '6.7E-01', '6.1E-01', '7.0E-01', '5.0E-01', '7.7E-01', '5.2E-01', '5.3E-01', '6.2E-01']","['L', 'L', 'M', 'V', 'T', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[7326.85, 25.0, 7726.85, 25.0, 7626.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methyl-1-butanol,QPRQEDXDYOZYLA-UHFFFAOYSA-N,"['7.6E-01', '7.1E-01', '7.8E-01', '3.3E-01', '7.0E-01', '8.4E-01', '4.6E-01', '1.6E+00', '5.3E-01', '1.8E-01', '7.6E-01', '5.5E-01', '6.2E-01', '4.9E-01', '7.8E-01', '3.9E-01', '5.9E-01', '7.0E-01', '4.7E-01', '1.9E+00', '8.3E-01', '6.0E-01', '6.9E-01', '7.0E-01', '8.4E-01', '7.0E-01']","['L', 'L', 'M', 'M', 'M', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[7626.85, 25.0, 7426.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
($S$)-2-methyl-1-butanol,QPRQEDXDYOZYLA-RXMQYKEDSA-N,['3.9E-01'],['Q'],[25.0]
3-methyl-1-butanol,PHTQWCKDNZKARW-UHFFFAOYSA-N,"['8.2E-01', '7.0E-01', '6.7E-01', '8.2E-01', '3.3E-01', '3.2E-01', '3.2E-01', '7.5E-01', '7.1E-01', '1.6E+00', '1.2E-01', '5.3E-01', '1.8E-01', '7.4E-01', '1.3E+00', '6.2E-01', '4.9E-01', '7.8E-01', '4.6E-01', '1.1E+00', '6.1E-01', '7.0E-01', '4.7E-01', '6.9E-01', '7.4E-01', '7.0E-01', '7.4E-01', '7.0E-01']","['L', 'L', 'M', 'M', 'M', 'M', 'M', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[7726.85, 25.0, 6626.85, 7426.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methyl-2-butanol,MSXVEPNJUHWQHW-UHFFFAOYSA-N,"['6.5E-01', '7.1E-01', '7.2E-01', '7.0E-01', '7.1E-01', '1.6E+00', '2.3E-01', '1.2E-01', '6.6E-01', '4.8E-01', '7.2E-01', '6.2E-01', '3.9E-01', '7.8E-01', '2.7E-01', '1.1E+00', '7.9E-01', '2.8E-01', '7.5E-01', '6.9E-01', '6.1E-01', '5.0E-01', '6.0E-01', '7.2E-01', '5.6E-02', '7.2E-01']","['L', 'L', 'M', 'M', 'M', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[7626.85, 7926.85, 7926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-methyl-2-butanol,MXLMTQWGSQIYOW-UHFFFAOYSA-N,"['5.1E-01', '5.4E-01', '5.6E-01', '2.1E-01', '2.1E-01', '6.9E-01', '4.2E-01', '6.2E-01', '3.9E-01', '7.8E-01', '3.1E-01', '7.1E-01', '6.1E-01', '4.5E-01', '5.4E-01', '5.5E-01']","['L', 'M', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[7326.85, 7526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"2,2-dimethyl-1-propanol",KPSSIOMAKSHJJG-UHFFFAOYSA-N,"['3.0E-01', '1.9E-01', '1.9E-01', '5.7E-01', '3.7E-01', '2.3E-01', '1.2E-01', '5.9E-01', '3.0E-01', '6.2E-01', '3.9E-01', '7.8E-01', '3.1E-01', '5.7E-01', '4.9E-01']","['L', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'E']","[7526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
1-hexanol,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,"['7.6E-01', '6.6E-01', '5.7E-01', '5.1E-01', '3.9E-01', '3.8E-01', '2.5E-01', '7.3E-01', '1.6E-01', '3.9E-01', '9.8E-01', '3.5E-01', '5.8E-01', '6.4E-01', '6.9E-01', '5.8E-01', '5.3E-01', '5.3E-01', '7.6E-01', '1.7E+00', '6.4E-01', '6.4E-01', '5.2E-01', '5.8E-01', '2.1E-01', '1.4E+00', '1.4E-01', '5.0E-01', '8.5E-01', '6.4E-01', '4.9E-01', '3.1E-01', '6.2E-01', '3.7E-01', '1.1E+00', '4.1E-01', '6.2E-01', '1.5E+00', '4.7E-01', '3.9E-01', '5.1E-01', '6.2E-01', '5.8E-01', '4.7E-01', '5.3E-01', '6.9E-01']","['L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[7526.85, 7926.85, 7026.85, 5826.85, 5526.85, 25.0, 25.0, 25.0, 25.0, 5526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 4826.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-hexanol,QNVRIHYSUZMSGM-UHFFFAOYSA-N,"['3.9E-01', '5.2E-01', '4.8E-01', '4.0E-01', '4.2E-01', '7.3E-01', '5.4E-01', '1.7E-01', '4.6E-01', '5.6E-01', '4.9E-01', '2.5E-01', '6.2E-01', '2.5E-01', '2.8E-01', '4.0E-01', '2.8E-01', '1.1E+00', '4.2E-01', '4.2E-01']","['L', 'L', 'M', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[7826.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-hexanol,ZOCHHNOQQHDWHG-UHFFFAOYSA-N,"['3.7E-01', '4.2E-01', '2.5E-01', '2.3E-01', '2.0E-01', '3.9E-01', '2.2E-01', '5.4E-01', '1.7E-01', '5.3E-01', '2.5E-01', '4.9E-01', '3.1E-01', '6.2E-01', '2.0E-01', '2.8E-01', '4.1E-01', '4.0E-01', '5.8E-01', '4.1E-01', '4.8E-01', '5.6E-01', '6.0E-01', '3.9E-01']","['L', 'L', 'V', 'V', 'V', 'T', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[8126.85, 8126.85, 25.0, 25.0, 25.0, 8126.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methyl-1-pentanol,PFNHSEQQEPMLNI-UHFFFAOYSA-N,"['4.6E-01', '2.3E-01', '2.3E-01', '5.4E-01', '1.7E-01', '6.0E-01', '5.5E-01', '4.9E-01', '3.9E-01', '6.2E-01', '4.4E-01', '4.6E-01', '3.1E-01', '3.1E-01']","['L', 'V', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-methyl-1-pentanol,IWTBVKIGCDZRPL-UHFFFAOYSA-N,"['7.5E-01', '1.7E-01', '6.8E-01', '9.6E-01', '3.3E-01', '3.8E-01']","['L', 'Q', 'Q', 'Q', 'Q', 'Q']","[8326.85, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methyl-2-pentanol,WFRBDWRZVBPBDO-UHFFFAOYSA-N,"['2.8E-01', '3.1E-01', '2.4E-01', '1.0E-01', '5.1E-01', '3.9E-01', '4.9E-01', '3.1E-01', '6.2E-01', '3.2E-01', '7.7E-01', '2.9E-01', '6.2E-01', '6.7E-01', '5.0E-01', '3.9E-01', '4.7E-01', '3.1E-01']","['V', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-methyl-2-pentanol,ZXNBBWHRUSXUFZ-UHFFFAOYSA-N,"['5.0E-01', '1.7E-01', '8.1E-01', '3.6E-01', '4.0E-01', '2.8E-01']","['L', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
4-methyl-2-pentanol,WVYWICLMDOOCFB-UHFFFAOYSA-N,"['2.2E-01', '3.5E-01', '2.1E-01', '2.2E-01', '2.1E-01', '2.1E-01', '1.7E-01', '5.6E-01', '4.7E-01', '4.9E-01', '3.1E-01', '6.2E-01', '2.6E-01', '2.8E-01', '2.3E-01', '5.3E-01', '1.9E-01', '4.0E-01', '5.6E-01', '4.8E-01', '2.2E-01', '2.1E-01', '2.2E-01']","['L', 'L', 'V', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[7026.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methyl-3-pentanol,ISTJMQSHILQAEC-UHFFFAOYSA-N,"['2.9E-01', '1.7E-01', '6.9E-01', '1.4E-01', '3.3E-01', '5.8E-01', '2.9E-01', '3.7E-01', '3.7E-01', '4.2E-01', '5.2E-01', '2.9E-01']","['V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-methyl-3-pentanol,FRDAATYAJDYRNW-UHFFFAOYSA-N,"['2.4E-01', '4.7E-01', '4.8E-01', '5.6E-01', '2.4E-01', '1.0E-01', '5.5E-01', '2.8E-01', '4.9E-01', '3.1E-01', '6.2E-01', '2.1E-01', '3.3E-01', '2.9E-01', '5.6E-01', '7.0E-01']","['L', 'L', 'M', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[7026.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-ethyl-1-butanol,TZYRSLHNPKPEFV-UHFFFAOYSA-N,"['5.4E-01', '1.9E-01', '5.4E-01', '4.9E-01', '3.9E-01', '6.2E-01', '4.7E-01', '5.5E-01', '3.5E-01', '2.0E+00', '4.8E-01', '4.8E-01']","['L', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"2,2-dimethyl-1-butanol",XRMVWAKMXZNZIL-UHFFFAOYSA-N,"['1.0E-01', '5.4E-01', '2.7E-01', '4.0E-01', '2.8E-01']","['Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
"2,3-dimethyl-1-butanol",SXSWMAUXEHKFGX-UHFFFAOYSA-N,"['1.7E-01', '9.1E-01', '5.1E-01', '8.2E-01', '4.2E-01', '4.7E-01']","['Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"2,3-dimethyl-2-butanol",IKECULIHBUCAKR-UHFFFAOYSA-N,"['3.8E-01', '9.9E-01', '3.0E-01', '9.3E-02', '1.2E-01', '6.3E-01', '3.0E-01', '2.0E-01', '2.4E-01', '1.0E+00', '6.0E-01']","['L', 'V', 'V', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
