mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0,0.0,0.08999576568603515,0.0035784227511762613,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.5602715684500199,0.5214815286489967,0.4779253749988699,0.4617717095488757,0.4818625059069802,0.5006625375107485,0.035691968868325895,10
0.002480220794677734,0.0030388279732808435,0.10887770652770996,0.0034598133917471984,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.5762309425804377,0.5798074653429327,0.5306244003967029,0.5604342484677468,0.3982115603998915,0.5290617234375423,0.06768826782996931,7
0.002480220794677734,0.0030388279732808435,0.10288839340209961,0.0022398106407762923,3,2,uniform,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.5075585577386306,0.5126703580603419,0.5193351412613971,0.460529341361815,0.38290545464528436,0.4765997706134938,0.05123032153816294,14
0.001047039031982422,0.0010621122561508172,0.025636625289916993,0.04136460800831837,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.5334193017189612,0.582276372411795,0.5362664655215157,0.5422168113042456,0.35583332022561165,0.5100024542364258,0.07907914132836923,9
0.0009430885314941406,0.0018861770629882812,0.011518144607543945,0.0016264256086826266,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.5736309021832414,0.49182326584990765,0.5265643687700852,0.4848024482598363,0.5197184037503075,0.5193078777626756,0.031463771969347236,8
0.0010263442993164063,0.001147544038187584,0.011584806442260741,0.0011582879804959817,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.6109212485810944,0.5738779149836986,0.5662578112049095,0.5756678388472326,0.4357278904114881,0.5524905408056846,0.06038511205784949,3
0.0012624263763427734,0.00168350062289839,0.005002498626708984,0.0012867418598024,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.5099744961677763,0.4425697163349406,0.48930183358672685,0.48156980204588284,0.5076757135856056,0.48621831234418644,0.024335542002266716,13
0.0014634132385253906,0.0016055739228596506,0.004822349548339844,0.004160521717652666,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.5548420937550385,0.5639083020292663,0.5391935567534499,0.5750635146907099,0.46172536760085003,0.538946566965863,0.04035681983894794,6
0.0024359703063964845,0.003137495579401607,0.01208806037902832,0.006604639024622402,7,1,uniform,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.5664095573320691,0.4139807388100202,0.5021496278313361,0.4373933041213468,0.5209462858735594,0.48817590279366635,0.05562996025082078,12
0.0005512237548828125,0.000676895766269668,0.013891077041625977,0.0032610202724264984,7,1,distance,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.6085815589268111,0.571368718143139,0.5659796031459288,0.5788701333377955,0.4567881865765895,0.5563176400260528,0.05189630576680117,2
0.001975822448730469,0.003951644897460938,0.0062487125396728516,0.00474984940906197,7,2,uniform,"{'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.5359751731229321,0.35997544375215373,0.5139075090486702,0.4149433728643278,0.5413637124694881,0.4732330422515144,0.07274303352896307,15
0.001990652084350586,0.003981304168701172,0.004526090621948242,0.004997615037639468,7,2,distance,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.5852200466841465,0.5304005440860495,0.5596866904151291,0.5523211733792415,0.4894426859940946,0.5434142281117322,0.03216873171388558,5
0.0029534816741943358,0.0035196413077875468,0.009532785415649414,0.0017762799898777765,9,1,uniform,"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.5573350430418431,0.44086156089078354,0.5102371116010522,0.45786510898195354,0.5178031258651711,0.49682039007616063,0.04226395942206975,11
0.001368570327758789,0.0013591258863663387,0.01031961441040039,0.002055068647582376,9,1,distance,"{'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.6080206769847296,0.592117712207106,0.5779414249183057,0.5806911673521826,0.4657446665278896,0.5649031295980427,0.05069796145536461,1
0.001627969741821289,0.002502154235310382,0.005021381378173828,0.0024888139029034095,9,2,uniform,"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.493530775973396,0.3609433431932777,0.5096547871958923,0.42302113590822465,0.5477652106125066,0.4669830505766594,0.06667606121115269,16
0.0012831687927246094,0.0007238126236121845,0.0027742862701416017,0.0007491185875713528,9,2,distance,"{'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.569086487058055,0.535126597542092,0.5670240416947311,0.5531691481887413,0.5131985171631988,0.5475209583293636,0.021019012753799676,4
