Algorithm,MSE,R2
AdaBoost,1.5900041186996035,0.6922010732883218
KernelRidgeRegression,1.1107027159261726,0.7855209778643858
KNN,1.2567635148199663,0.7531321150190506
LGBM,1.081698000814309,0.7926988464328244
RandomForest,1.2744097406184483,0.7487523160697673
