InChI,count
InChI=1S/H2O/h1H2,37
"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",27
"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",27
"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",25
"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",25
