InChI,count
"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",24
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,21
InChI=1S/C2HCl3/c3-1-2(4)5/h1H,20
"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",20
InChI=1S/C3H6O/c1-3(2)4/h1-2H3,18
