,MSE,R2
HenryConstant,4.16378336521729e+60,-0.09399562210900347
logCMC,1.6343030140331596,0.6093901543081144
CMC,0.0015688938403877575,0.42390145338900964
logS,0.8918515022535293,0.8327649288341701
logHenry,7.373738436037643,0.864590976189832
