mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.14039268493652343,0.001669793352549581,0.014531183242797851,0.005356732280394697,0.05,{'alpha': 0.05},0.6373076934054009,0.5958327142888492,0.6456713219900923,0.6496115061710835,0.4945593254682925,0.6045965122647436,0.05825546785498796,1
0.13321857452392577,0.0022674325847357687,0.016073036193847656,0.0078098057786022065,0.04,{'alpha': 0.04},0.6324285402343715,0.5948258855773945,0.6469136281055357,0.6492662442189063,0.49020477931893114,0.6027278154910278,0.059538590176273144,2
0.12416696548461914,0.002826640640876489,0.014185667037963867,0.004905632457585024,0.03,{'alpha': 0.03},0.6251105440560982,0.592527728182536,0.6484391776997227,0.6482860548289389,0.484708106886662,0.5998143223307916,0.06108407244568598,3
0.07454524040222169,0.026232892131749994,0.010496854782104492,0.003080074064499404,0.02,{'alpha': 0.02},0.6131213958874022,0.5882202428682324,0.6502872656128289,0.6461238358477485,0.4774327310174826,0.5950370942467389,0.06303448942046984,4
