,MSE,R2
StandardScaler(),0.28549080857622966,0.6072870588497576
RobustScaler(),0.29800566537327816,0.5900719819604057
MaxAbsScaler(),0.5786522578340286,0.20402260510410541
PowerTransformer(standardize=False),0.8477338170311058,-0.16611824478375192
None,0.24648474027093834,0.6609426839932482
normalize,0.30229372387516423,0.5841734520760353
MinMaxScaler(),0.5786522578340286,0.20402260510410541
