,MSE,R2
StandardScaler(),0.4429062769320743,0.3907508702807999
RobustScaler(),0.35413821643850385,0.5128576599546417
MaxAbsScaler(),0.3675626961259015,0.4943913319921359
PowerTransformer(standardize=False),0.31251107136324957,0.570118762880223
None,0.24648474027093834,0.6609426839932482
normalize,0.30229372387516423,0.5841734520760353
MinMaxScaler(),0.4350662753781251,0.40153535081881964
