,MSE,R2
StandardScaler(),7.875420765610275e+61,-19.69194068023845
RobustScaler(),5.1094577647489014e+60,-0.3424628362466331
MaxAbsScaler(),4.164265234618401e+60,-0.09412222884355348
PowerTransformer(standardize=False),4.643915318672373e+60,-0.22014585833463252
None,4.220163729027413e+60,-0.10880904196567487
normalize,4.16378336521729e+60,-0.09399562210900347
MinMaxScaler(),5.547400318504552e+60,-0.45752819736657124
