mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.630011892318725,0.4932748136635538,2.542189025878906,0.32687253481847106,0.2,1.0,"{'alpha': 0.2, 'gamma': 1.0}",0.25595969135251395,0.24411241463325106,0.2594645995166115,0.23752654056985212,0.24626630697371532,0.24866591060918877,0.008004859870535213,1
12.932112073898315,0.6089670077348188,2.2879652976989746,0.24207452356432463,0.2,2.154434690031884,"{'alpha': 0.2, 'gamma': 2.154434690031884}",0.1957293049489175,0.19113410850510526,0.21014880008799341,0.18360369367363627,0.1824837802229008,0.19261993748771064,0.010031662020281046,4
12.549812507629394,0.33317955223992607,2.499374341964722,0.13277806208728296,0.2,4.641588833612778,"{'alpha': 0.2, 'gamma': 4.641588833612778}",0.1560940935846239,0.15353208405915963,0.17463202553502233,0.1452128944509382,0.13603392660988523,0.15310100484792585,0.012854856720467541,7
12.819084692001343,0.27232948487351916,2.4771372795104982,0.13127073237182033,0.2,10.0,"{'alpha': 0.2, 'gamma': 10.0}",0.11952855847826682,0.12012538036060338,0.13851105156873633,0.1113964102469478,0.09647264433967895,0.11720680899884665,0.013648777591309053,10
12.685324048995971,0.5818402836905038,2.506747341156006,0.23710055706641742,0.4,1.0,"{'alpha': 0.4, 'gamma': 1.0}",0.24406038669762697,0.2328286623134339,0.24844963388588526,0.2286993446959077,0.23462081625858,0.23773176877028676,0.007351560387062931,2
12.287575149536133,0.9812619465705197,2.4269274711608886,0.4612071270583048,0.4,2.154434690031884,"{'alpha': 0.4, 'gamma': 2.154434690031884}",0.18654454984578017,0.18227790946315048,0.2011338396546617,0.17677115364401985,0.1735392974488279,0.18405335001128803,0.00964030162837624,5
11.540985441207885,0.5743903236278595,2.8531296253204346,0.47645299210381475,0.4,4.641588833612778,"{'alpha': 0.4, 'gamma': 4.641588833612778}",0.1472488505307875,0.14541184494366366,0.16590419548850077,0.13889683180667944,0.12821675624089546,0.14513569580210536,0.01233731089264461,8
12.51350450515747,0.8805571602122076,2.671901750564575,0.3064981395987872,0.4,10.0,"{'alpha': 0.4, 'gamma': 10.0}",0.10978916126113913,0.11179865471943817,0.12965654837956964,0.10465162905016889,0.08920450711829508,0.10902010010572219,0.013007044883200274,11
12.214843273162842,0.8216227495448897,2.471631336212158,0.16844405691416225,0.8,1.0,"{'alpha': 0.8, 'gamma': 1.0}",0.22237954401677407,0.21264910556259176,0.228288785213281,0.21140659113427374,0.2134985378614057,0.21764451275766525,0.00658446541791662,3
11.169934034347534,1.7650993108837434,2.4633262157440186,0.34876511691066525,0.8,2.154434690031884,"{'alpha': 0.8, 'gamma': 2.154434690031884}",0.1692259869596472,0.16602700810605053,0.18422528222935786,0.16297918363431285,0.15705939396967905,0.1679033709798095,0.009094111236531728,6
9.435507249832153,0.11088837726682885,2.1305370330810547,0.23060954692133437,0.8,4.641588833612778,"{'alpha': 0.8, 'gamma': 4.641588833612778}",0.13063213220345782,0.13052501133353522,0.1497644574500928,0.12618968129320973,0.11388309631284532,0.13019887571862818,0.011535894951589623,9
9.9889479637146,0.3050171179070656,1.2575765132904053,0.32632976328061736,0.8,10.0,"{'alpha': 0.8, 'gamma': 10.0}",0.09225697044724246,0.09696163550143955,0.11387744944437161,0.0916992767258078,0.07612098194839556,0.0941832628134514,0.012097165957849461,12
