Compounds,InChI
NBUTOLAOOH,"InChI=1S/C4H10O3/c1-2-4(3-5)7-6/h4-6H,2-3H2,1H3"
NBUTOLBOOH,"InChI=1S/C4H10O3/c1-4(7-6)2-3-5/h4-6H,2-3H2,1H3"
TBUTOLOOH,"InChI=1S/C4H10O3/c1-4(2,5)3-7-6/h5-6H,3H2,1-2H3"
C42CO3H,"InChI=1S/C5H10O5/c1-3(2-6)4(7)5(8)10-9/h3-4,6-7,9H,2H2,1H3"
C46CO3H,"InChI=1S/C5H8O4/c1-4(2-3-6)5(7)9-8/h6,8H,1-3H2"
C4OH2CO3H,"InChI=1S/C5H10O5/c1-5(2,8)3(6)4(7)10-9/h3,6,8-9H,1-2H3"
C4OHCO3H,"InChI=1S/C5H10O4/c1-2-3-4(6)5(7)9-8/h4,6,8H,2-3H2,1H3"
C51OH2OOH,"InChI=1S/C5H12O3/c1-2-3-5(4-6)8-7/h5-7H,2-4H2,1H3"
C524OOH,"InChI=1S/C5H10O4/c1-4(2-6)5(3-7)9-8/h5-8H,1-3H2"
C52OH1OOH,"InChI=1S/C5H12O3/c1-2-3-5(6)4-8-7/h5-7H,2-4H2,1H3"
C52OH3OOH,"InChI=1S/C5H12O3/c1-3-5(8-7)4(2)6/h4-7H,3H2,1-2H3"
C52OOH,"InChI=1S/C5H12O3/c1-5(4-6)2-3-8-7/h5-7H,2-4H2,1H3"
C53OH2OOH,"InChI=1S/C5H12O3/c1-3-5(6)4(2)8-7/h4-7H,3H2,1-2H3"
C54OOH,"InChI=1S/C5H12O4/c1-5(7,2-3-6)4-9-8/h6-8H,2-4H2,1H3"
C56OOH,"InChI=1S/C5H12O4/c1-4(2-6)5(7)3-9-8/h4-8H,2-3H2,1H3"
H13C43CO3H,"InChI=1S/C5H10O5/c1-5(8,2-3-6)4(7)10-9/h6,8-9H,2-3H2,1H3"
H2M2C3CO3H,"InChI=1S/C5H10O4/c1-5(2,7)3-4(6)9-8/h7-8H,3H2,1-2H3"
H2M3C4OOH,"InChI=1S/C5H12O3/c1-4(3-8-7)5(2)6/h4-7H,3H2,1-2H3"
HC4ACO3H,"InChI=1S/C5H8O4/c1-4(3-6)2-5(7)9-8/h2,6,8H,3H2,1H3"
HC4CCO3H,"InChI=1S/C5H8O4/c1-4(2-3-6)5(7)9-8/h2,6,8H,3H2,1H3"
HM22C3OOH,"InChI=1S/C5H12O3/c1-5(2,3-6)4-8-7/h6-7H,3-4H2,1-2H3"
HM22CO3H,"InChI=1S/C5H10O4/c1-5(2,3-6)4(7)9-8/h6,8H,3H2,1-2H3"
HM2C43OOH,"InChI=1S/C5H12O3/c1-4(3-6)5(2)8-7/h4-7H,3H2,1-2H3"
HO13C5OOH,"InChI=1S/C5H12O4/c1-4(9-8)5(7)2-3-6/h4-8H,2-3H2,1H3"
HO1C5OOH,"InChI=1S/C5H12O3/c1-5(8-7)3-2-4-6/h5-7H,2-4H2,1H3"
HO24C4CO3H,"InChI=1S/C5H10O5/c1-3(6)2-4(7)5(8)10-9/h3-4,6-7,9H,2H2,1H3"
HO24C5OOH,"InChI=1S/C5H12O4/c1-4(6)2-5(7)3-9-8/h4-8H,2-3H2,1H3"
HO2C43CO3H,"InChI=1S/C5H10O4/c1-3(4(2)6)5(7)9-8/h3-4,6,8H,1-2H3"
HO2C4CO3H,"InChI=1S/C5H10O4/c1-4(6)2-3-5(7)9-8/h4,6,8H,2-3H2,1H3"
HO2C54OOH,"InChI=1S/C5H12O3/c1-4(6)3-5(2)8-7/h4-7H,3H2,1-2H3"
HO2C5OOH,"InChI=1S/C5H12O3/c1-5(6)3-2-4-8-7/h5-7H,2-4H2,1H3"
HO2M2C4OOH,"InChI=1S/C5H12O3/c1-5(2,6)3-4-8-7/h6-7H,3-4H2,1-2H3"
HOBUT2CO3H,"InChI=1S/C5H10O4/c1-4(2-3-6)5(7)9-8/h4,6,8H,2-3H2,1H3"
HOIBUTCO3H,"InChI=1S/C5H10O4/c1-4(3-6)2-5(7)9-8/h4,6,8H,2-3H2,1H3"
ISOPAOOH,"InChI=1S/C5H10O3/c1-5(4-6)2-3-8-7/h2,6-7H,3-4H2,1H3"
ISOPBOOH,"InChI=1S/C5H10O3/c1-3-5(2,4-6)8-7/h3,6-7H,1,4H2,2H3"
ISOPCOOH,"InChI=1S/C5H10O3/c1-5(2-3-6)4-8-7/h2,6-7H,3-4H2,1H3"
ISOPDOOH,"InChI=1S/C5H10O3/c1-4(2)5(3-6)8-7/h5-7H,1,3H2,2H3"
M2BU2OLOOH,"InChI=1S/C5H12O3/c1-4(8-7)5(2,3)6/h4,6-7H,1-3H3"
