Compounds,InChI
C924CO,"InChI=1S/C9H14O3/c1-6(2)8(5-10)4-9(12)7(3)11/h8,10H,1,4-5H2,2-3H3"
C924OH,"InChI=1S/C9H16O3/c1-6(2)8(5-10)4-9(12)7(3)11/h8-10,12H,1,4-5H2,2-3H3"
C924OOH,"InChI=1S/C9H16O4/c1-6(2)8(5-10)4-9(13-12)7(3)11/h8-10,12H,1,4-5H2,2-3H3"
C925OOH,"InChI=1S/C9H16O6/c1-6(12)8(13)3-7(4-10)9(2,5-11)15-14/h7,10-11,14H,3-5H2,1-2H3"
C927OH,"InChI=1S/C9H16O3/c1-7(4-5-10)8(11)6-9(2,3)12/h10,12H,1,4-6H2,2-3H3"
C927OOH,"InChI=1S/C9H16O4/c1-7(4-5-10)8(11)6-9(2,3)13-12/h10,12H,1,4-6H2,2-3H3"
C928OH,"InChI=1S/C9H16O3/c1-7(11)4-5-8(12)9(2,3)6-10/h10H,4-6H2,1-3H3"
C929CO,"InChI=1S/C9H14O4/c1-6(11)4-7(12)8(13)9(2,3)5-10/h10H,4-5H2,1-3H3"
C929OH,"InChI=1S/C9H16O4/c1-6(11)4-7(12)8(13)9(2,3)5-10/h7,10,12H,4-5H2,1-3H3"
C929OOH,"InChI=1S/C9H16O5/c1-6(11)4-7(14-13)8(12)9(2,3)5-10/h7,10,13H,4-5H2,1-3H3"
C92OOH,"InChI=1S/C9H18O4/c1-3-4-5-8(10)6-9(11)7(2)13-12/h7-8,10,12H,3-6H2,1-2H3"
C93CO,"InChI=1S/C9H16O3/c1-3-5-8(11)9(12)6-7(10)4-2/h8,11H,3-6H2,1-2H3"
C93OH,"InChI=1S/C9H18O3/c1-3-5-8(11)9(12)6-7(10)4-2/h8-9,11-12H,3-6H2,1-2H3"
C93OOH,"InChI=1S/C9H18O4/c1-3-5-8(11)9(13-12)6-7(10)4-2/h8-9,11-12H,3-6H2,1-2H3"
C94OH,"InChI=1S/C9H16O3/c1-3-5-8(11)9(12)6-7(10)4-2/h9,12H,3-6H2,1-2H3"
C97OH,"InChI=1S/C9H16O3/c1-6(11)9(12)4-7(5-10)8(9,2)3/h7,10,12H,4-5H2,1-3H3"
C97OOH,"InChI=1S/C9H16O4/c1-6(11)9(13-12)4-7(5-10)8(9,2)3/h7,10,12H,4-5H2,1-3H3"
C98OH,"InChI=1S/C9H16O4/c1-6(11)8(12)4-7(5-10)9(2,3)13/h7,10,13H,4-5H2,1-3H3"
C98OOH,"InChI=1S/C9H16O5/c1-6(11)8(12)4-7(5-10)9(2,3)14-13/h7,10,13H,4-5H2,1-3H3"
C9DCOH,"InChI=1S/C9H12O3/c1-9(2)6-4(10)3-5(11)7(9)8(6)12/h6-8,12H,3H2,1-2H3"
HO4CO7C9,"InChI=1S/C9H18O2/c1-3-5-9(11)7-6-8(10)4-2/h9,11H,3-7H2,1-2H3"
IPBZOBPROH,"InChI=1S/C9H12O4/c1-5(2)9-4-3-6(10)7(8(9)11)12-13-9/h3-5,7-8,11H,1-2H3"
IPRBQCO,"InChI=1S/C9H10O4/c1-4(2)5-3-6(10)8(12)9(13)7(5)11/h3-4,9,13H,1-2H3"
IPRBQOH,"InChI=1S/C9H12O4/c1-4(2)5-3-6(10)8(12)9(13)7(5)11/h3-4,8-9,12-13H,1-2H3"
IPRBQOOH,"InChI=1S/C9H12O5/c1-4(2)5-3-6(10)9(14-13)8(12)7(5)11/h3-4,8-9,12-13H,1-2H3"
LMKAOH,"InChI=1S/C9H16O3/c1-6(10)7-3-4-9(2,12)8(11)5-7/h7-8,11-12H,3-5H2,1-2H3"
LMKAOOH,"InChI=1S/C9H16O4/c1-6(10)7-3-4-9(2,13-12)8(11)5-7/h7-8,11-12H,3-5H2,1-2H3"
LMKBCO,"InChI=1S/C9H14O3/c1-6(10)7-3-4-9(2,12)8(11)5-7/h7,12H,3-5H2,1-2H3"
LMKBOOH,"InChI=1S/C9H16O4/c1-6(10)7-3-4-9(2,11)8(5-7)13-12/h7-8,11-12H,3-5H2,1-2H3"
METLOBPROH,"InChI=1S/C9H12O4/c1-3-9-6(10)4-5-8(2,7(9)11)12-13-9/h4-5,7,11H,3H2,1-2H3"
METLQOH,"InChI=1S/C9H12O4/c1-3-5-4-6(10)8(12)9(2,13)7(5)11/h4,8,12-13H,3H2,1-2H3"
METLQOOH,"InChI=1S/C9H12O5/c1-3-5-4-6(10)8(12)9(2,14-13)7(5)11/h4,8,12-13H,3H2,1-2H3"
NOPINAOH,"InChI=1S/C9H14O2/c1-9(2)5-3-6(9)8(11)4-7(5)10/h5-7,10H,3-4H2,1-2H3"
NOPINBOH,"InChI=1S/C9H14O2/c1-9(2)5-3-4-6(10)7(9)8(5)11/h5,7-8,11H,3-4H2,1-2H3"
NOPINCOH,"InChI=1S/C9H14O2/c1-8(2)6-5-9(8,11)4-3-7(6)10/h6,11H,3-5H2,1-2H3"
NOPINDOH,"InChI=1S/C9H14O2/c1-9(2)5-3-6(9)8(11)7(10)4-5/h5-7,10H,3-4H2,1-2H3"
OETLQCO,"InChI=1S/C9H10O4/c1-3-5-4(2)6(10)8(12)9(13)7(5)11/h9,13H,3H2,1-2H3"
OETLQOH,"InChI=1S/C9H12O4/c1-3-5-4(2)6(10)8(12)9(13)7(5)11/h8-9,12-13H,3H2,1-2H3"
OETLQOOH,"InChI=1S/C9H12O5/c1-3-5-4(2)6(10)9(14-13)8(12)7(5)11/h8-9,12-13H,3H2,1-2H3"
PBZOBPEROH,"InChI=1S/C9H12O4/c1-2-4-9-5-3-6(10)7(8(9)11)12-13-9/h3,5,7-8,11H,2,4H2,1H3"
PETLQOH,"InChI=1S/C9H12O4/c1-3-9(13)6(10)4-5(2)7(11)8(9)12/h4,8,12-13H,3H2,1-2H3"
PETLQOOH,"InChI=1S/C9H12O5/c1-3-9(14-13)6(10)4-5(2)7(11)8(9)12/h4,8,12-13H,3H2,1-2H3"
TM123OBPOH,"InChI=1S/C9H12O4/c1-7-5-4-6(10)8(2,13-12-7)9(7,3)11/h4-5,11H,1-3H3"
TM124QOH,"InChI=1S/C9H12O4/c1-4-5(2)7(11)9(3,13)8(12)6(4)10/h8,12-13H,1-3H3"
TM124QOOH,"InChI=1S/C9H12O5/c1-4-5(2)7(11)9(3,14-13)8(12)6(4)10/h8,12-13H,1-3H3"
TM135OBPOH,"InChI=1S/C9H12O4/c1-5-4-8(2)7(11)9(3,6(5)10)13-12-8/h4,7,11H,1-3H3"
C1011OH,"InChI=1S/C10H18O2/c1-7(11)4-5-8-9(12)6-10(8,2)3/h8-9,12H,4-6H2,1-3H3"
C102OOH,"InChI=1S/C10H20O4/c1-3-4-5-6-9(11)7-10(12)8(2)14-13/h8-9,11,13H,3-7H2,1-2H3"
C103CO,"InChI=1S/C10H18O3/c1-3-5-6-9(12)10(13)7-8(11)4-2/h9,12H,3-7H2,1-2H3"
C103OH,"InChI=1S/C10H20O3/c1-3-5-6-9(12)10(13)7-8(11)4-2/h9-10,12-13H,3-7H2,1-2H3"
C103OOH,"InChI=1S/C10H20O4/c1-3-5-6-9(12)10(14-13)7-8(11)4-2/h9-10,12-13H,3-7H2,1-2H3"
C104OH,"InChI=1S/C10H18O3/c1-3-5-6-9(12)10(13)7-8(11)4-2/h10,13H,3-7H2,1-2H3"
C920CO3H,"InChI=1S/C10H16O5/c1-10(2)6(4-9(13)15-14)3-7(10)8(12)5-11/h6-7,11,14H,3-5H2,1-2H3"
C9M2CO6OH,"InChI=1S/C10H16O3/c1-4-8(11)6-7(3)10(13)9(12)5-2/h6,10,13H,4-5H2,1-3H3"
DMEOBPROH,"InChI=1S/C10H14O4/c1-4-10-5-6(2)7(11)9(3,8(10)12)13-14-10/h5,8,12H,4H2,1-3H3"
HO5CO8C10,"InChI=1S/C10H20O2/c1-3-5-6-10(12)8-7-9(11)4-2/h10,12H,3-8H2,1-2H3"
C112OOH,"InChI=1S/C11H22O4/c1-3-4-5-6-7-10(12)8-11(13)9(2)15-14/h9-10,12,14H,3-8H2,1-2H3"
C113CO,"InChI=1S/C11H20O3/c1-3-5-6-7-10(13)11(14)8-9(12)4-2/h10,13H,3-8H2,1-2H3"
C113OH,"InChI=1S/C11H22O3/c1-3-5-6-7-10(13)11(14)8-9(12)4-2/h10-11,13-14H,3-8H2,1-2H3"
C113OOH,"InChI=1S/C11H22O4/c1-3-5-6-7-10(13)11(15-14)8-9(12)4-2/h10-11,13-14H,3-8H2,1-2H3"
C114OH,"InChI=1S/C11H20O3/c1-3-5-6-7-10(13)11(14)8-9(12)4-2/h11,14H,3-8H2,1-2H3"
DETLOBPROH,"InChI=1S/C11H16O4/c1-4-7-6-11(5-2)9(13)10(3,8(7)12)14-15-11/h6,9,13H,4-5H2,1-3H3"
HO6CO9C11,"InChI=1S/C11H22O2/c1-3-5-6-7-11(13)9-8-10(12)4-2/h11,13H,3-9H2,1-2H3"
C122OOH,"InChI=1S/C12H24O4/c1-3-4-5-6-7-8-11(13)9-12(14)10(2)16-15/h10-11,13,15H,3-9H2,1-2H3"
C123CO,"InChI=1S/C12H22O3/c1-3-5-6-7-8-11(14)12(15)9-10(13)4-2/h11,14H,3-9H2,1-2H3"
C123OH,"InChI=1S/C12H24O3/c1-3-5-6-7-8-11(14)12(15)9-10(13)4-2/h11-12,14-15H,3-9H2,1-2H3"
C123OOH,"InChI=1S/C12H24O4/c1-3-5-6-7-8-11(14)12(16-15)9-10(13)4-2/h11-12,14-15H,3-9H2,1-2H3"
C124OH,"InChI=1S/C12H22O3/c1-3-5-6-7-8-11(14)12(15)9-10(13)4-2/h12,15H,3-9H2,1-2H3"
HO7CO10C12,"InChI=1S/C12H24O2/c1-3-5-6-7-8-12(14)10-9-11(13)4-2/h12,14H,3-10H2,1-2H3"
C131OH,"InChI=1S/C13H22O3/c1-9(15)4-5-11-10(8-13(11,2)3)12(16)6-7-14/h10-11,14H,4-8H2,1-3H3"
C132OH,"InChI=1S/C13H22O4/c1-9(15)4-5-10-12(2,3)8-13(10,17)11(16)6-7-14/h10,14,17H,4-8H2,1-3H3"
C132OOH,"InChI=1S/C13H22O5/c1-9(15)4-5-10-12(2,3)8-13(10,18-17)11(16)6-7-14/h10,14,17H,4-8H2,1-3H3"
C133CO,"InChI=1S/C13H20O5/c1-9(15)4-5-12(18)13(2,3)8-11(17)10(16)6-7-14/h14H,4-8H2,1-3H3"
C133OH,"InChI=1S/C13H22O5/c1-9(15)4-5-12(18)13(2,3)8-11(17)10(16)6-7-14/h12,14,18H,4-8H2,1-3H3"
C133OOH,"InChI=1S/C13H22O6/c1-9(15)4-5-12(19-18)13(2,3)8-11(17)10(16)6-7-14/h12,14,18H,4-8H2,1-3H3"
C134CO,"InChI=1S/C13H18O6/c1-8(15)4-5-10(17)13(2,3)12(19)11(18)9(16)6-7-14/h14H,4-7H2,1-3H3"
C134OH,"InChI=1S/C13H20O6/c1-8(15)4-5-10(17)13(2,3)12(19)11(18)9(16)6-7-14/h12,14,19H,4-7H2,1-3H3"
C134OOH,"InChI=1S/C13H20O7/c1-8(15)4-5-10(17)13(2,3)12(20-19)11(18)9(16)6-7-14/h12,14,19H,4-7H2,1-3H3"
C135OOH,"InChI=1S/C13H18O8/c1-7(15)4-5-9(16)13(2,3)12(19)11(18)10(17)8(6-14)21-20/h8,14,20H,4-6H2,1-3H3"
BCKAOH,"InChI=1S/C14H24O3/c1-13(2)8-9-10(13)6-7-14(3,17)12(16)5-4-11(9)15/h9-10,12,16-17H,4-8H2,1-3H3"
BCKAOOH,"InChI=1S/C14H24O4/c1-13(2)8-9-10(13)6-7-14(3,18-17)12(16)5-4-11(9)15/h9-10,12,16-17H,4-8H2,1-3H3"
BCKBCO,"InChI=1S/C14H22O3/c1-13(2)8-9-10(13)6-7-14(3,17)12(16)5-4-11(9)15/h9-10,17H,4-8H2,1-3H3"
BCKBOOH,"InChI=1S/C14H24O4/c1-13(2)8-9-10(13)6-7-14(3,16)12(18-17)5-4-11(9)15/h9-10,12,16-17H,4-8H2,1-3H3"
C141OH,"InChI=1S/C14H24O2/c1-10(7-8-15)12-9-14(3,4)13(12)6-5-11(2)16/h12-13,15H,1,5-9H2,2-4H3"
C142OH,"InChI=1S/C14H24O3/c1-10(7-8-15)14(17)9-13(3,4)12(14)6-5-11(2)16/h12,15,17H,1,5-9H2,2-4H3"
C142OOH,"InChI=1S/C14H24O4/c1-10(7-8-15)14(18-17)9-13(3,4)12(14)6-5-11(2)16/h12,15,17H,1,5-9H2,2-4H3"
C143CO,"InChI=1S/C14H22O4/c1-10(7-8-15)12(17)9-14(3,4)13(18)6-5-11(2)16/h15H,1,5-9H2,2-4H3"
C143OH,"InChI=1S/C14H24O4/c1-10(7-8-15)12(17)9-14(3,4)13(18)6-5-11(2)16/h13,15,18H,1,5-9H2,2-4H3"
C143OOH,"InChI=1S/C14H24O5/c1-10(7-8-15)12(17)9-14(3,4)13(19-18)6-5-11(2)16/h13,15,18H,1,5-9H2,2-4H3"
C145OH,"InChI=1S/C14H24O6/c1-10(17)4-5-11(18)13(2,3)8-12(19)14(20,9-16)6-7-15/h15-16,20H,4-9H2,1-3H3"
C145OOH,"InChI=1S/C14H24O7/c1-10(17)4-5-11(18)13(2,3)8-12(19)14(9-16,21-20)6-7-15/h15-16,20H,4-9H2,1-3H3"
BCBCO,"InChI=1S/C15H24O2/c1-10-5-6-13(16)15(4,17)8-7-12-11(10)9-14(12,2)3/h11-12,17H,1,5-9H2,2-4H3"
EMPHCOMOH,"InChI=1S/C11H14O2/c1-3-9-4-8(2)5-10(6-9)11(13)7-12/h4-6,12H,3,7H2,1-2H3"
ALCOCH2OOH,"InChI=1S/C3H4O4/c4-1-3(5)2-7-6/h1,6H,2H2"
C312COCO3H,"InChI=1S/C4H4O5/c5-2-3(6)1-4(7)9-8/h2,8H,1H2"
C413COOOH,"InChI=1S/C4H6O4/c5-2-1-4(6)3-8-7/h2,7H,1,3H2"
C4CO2OOH,"InChI=1S/C4H6O4/c1-3(6)4(2-5)8-7/h2,4,7H,1H3"
C4CO2DCO3H,"InChI=1S/C5H4O5/c6-3-4(7)1-2-5(8)10-9/h1-3,9H"
C4MCO2OOH,"InChI=1S/C5H8O4/c1-4(7)5(2,3-6)9-8/h3,8H,1-2H3"
C511OOH,"InChI=1S/C5H8O4/c1-4(7)5(9-8)2-3-6/h3,5,8H,2H2,1H3"
C5124COOOH,"InChI=1S/C5H6O5/c6-2-4(7)1-5(8)3-10-9/h2,9H,1,3H2"
C512OOH,"InChI=1S/C5H8O4/c6-3-1-5(7)2-4-9-8/h3,8H,1-2,4H2"
C515CO,"InChI=1S/C5H4O4/c6-2-1-4(8)5(9)3-7/h2-3H,1H2"
C515OOH,"InChI=1S/C5H6O5/c6-2-1-4(7)5(8)3-10-9/h2,9H,1,3H2"
C5COCHOOOH,"InChI=1S/C5H8O4/c6-3-1-2-5(7)4-9-8/h3,8H,1-2,4H2"
C5DIALCO,InChI=1S/C5H4O3/c6-3-1-2-5(8)4-7/h1-4H
CHOC3COOOH,"InChI=1S/C5H6O5/c6-2-1-4(7)3-5(8)10-9/h2,9H,1,3H2"
C23C54CHO,"InChI=1S/C6H8O3/c1-4(3-7)6(9)5(2)8/h3-4H,1-2H3"
C45IC5CHO,"InChI=1S/C6H8O3/c1-4(2)6(9)5(8)3-7/h3-4H,1-2H3"
C4ECO2OOH,"InChI=1S/C6H10O4/c1-3-6(4-7,10-9)5(2)8/h4,9H,3H2,1-2H3"
C511CO3H,"InChI=1S/C6H8O5/c1-4(8)5(2-3-7)6(9)11-10/h3,5,10H,2H2,1H3"
C512CO3H,"InChI=1S/C6H8O5/c7-4-3-5(8)1-2-6(9)11-10/h4,10H,1-3H2"
C515CO3H,"InChI=1S/C6H6O6/c7-2-1-4(8)5(9)3-6(10)12-11/h2,11H,1,3H2"
C5CO2DCO3H,"InChI=1S/C6H6O5/c1-4(6(9)11-10)2-5(8)3-7/h2-3,10H,1H3"
C5DCO2CO3H,"InChI=1S/C6H6O5/c1-4(5(8)3-7)2-6(9)11-10/h2-3,10H,1H3"
C5TRONCO3H,"InChI=1S/C6H6O6/c7-3-5(9)1-4(8)2-6(10)12-11/h3,11H,1-2H2"
C6135COOOH,"InChI=1S/C6H8O5/c7-2-1-5(8)3-6(9)4-11-10/h2,10H,1,3-4H2"
C6145COOOH,"InChI=1S/C6H8O5/c7-3-1-2-5(8)6(9)4-11-10/h3,10H,1-2,4H2"
C615CO2OOH,"InChI=1S/C6H8O4/c1-5(8)2-3-6(4-7)10-9/h2-4,6,9H,1H3"
C615CO,"InChI=1S/C6H8O3/c1-6(2,4-8)5(9)3-7/h3-4H,1-2H3"
C616OOH,"InChI=1S/C6H8O5/c7-3-1-2-5(9)6(4-8)11-10/h3-4,6,10H,1-2H2"
C617OOH,"InChI=1S/C6H10O4/c1-6(2,4-7)5(8)3-10-9/h4,9H,3H2,1-2H3"
C618OOH,"InChI=1S/C6H10O4/c1-6(2,10-9)5(8)3-4-7/h4,9H,3H2,1-2H3"
C620OOH,"InChI=1S/C6H8O5/c7-3-1-5(9)6(11-10)2-4-8/h3-4,6,10H,1-2H2"
C626OOH,"InChI=1S/C6H10O4/c1-5(8)6(2-3-7)4-10-9/h3,6,9H,2,4H2,1H3"
C65OOH,"InChI=1S/C6H10O4/c1-5(8)3-6(2,4-7)10-9/h4,9H,3H2,1-2H3"
C6CO134,"InChI=1S/C6H8O3/c1-2-5(8)6(9)3-4-7/h4H,2-3H2,1H3"
C6CO4DB,InChI=1S/C6H4O4/c7-3-5(9)1-2-6(10)4-8/h1-4H
C6COALCO3H,"InChI=1S/C6H8O5/c7-3-1-2-5(8)4-6(9)11-10/h3,10H,1-2,4H2"
C6COCHOOOH,"InChI=1S/C6H10O4/c7-4-3-6(8)2-1-5-10-9/h4,9H,1-3,5H2"
CO123C5CHO,"InChI=1S/C6H6O4/c7-3-1-2-5(9)6(10)4-8/h3-4H,1-2H2"
CO235C5CHO,"InChI=1S/C6H6O4/c1-4(8)6(10)2-5(9)3-7/h3H,2H2,1H3"
CO35C5CHO,"InChI=1S/C6H8O3/c1-2-5(8)3-6(9)4-7/h4H,2-3H2,1H3"
ECO4,"InChI=1S/C6H6O4/c1-2-4(8)6(10)5(9)3-7/h3H,2H2,1H3"
C4DBM2CO3H,"InChI=1S/C7H8O5/c1-4(6(9)3-8)5(2)7(10)12-11/h3,11H,1-2H3"
C617CHO,"InChI=1S/C7H10O3/c1-7(2,5-9)6(10)3-4-8/h4-5H,3H2,1-2H3"
C617CO3H,"InChI=1S/C7H10O5/c1-7(2,4-8)5(9)3-6(10)12-11/h4,11H,3H2,1-2H3"
C618CO3H,"InChI=1S/C7H10O5/c1-7(2,6(10)12-11)5(9)3-4-8/h4,11H,3H2,1-2H3"
C626CHO,"InChI=1S/C7H10O3/c1-6(10)7(2-4-8)3-5-9/h4-5,7H,2-3H2,1H3"
C626CO3H,"InChI=1S/C7H10O5/c1-5(9)6(2-3-8)4-7(10)12-11/h3,6,11H,2,4H2,1H3"
C6M5CO2OOH,"InChI=1S/C7H10O4/c1-6(9)3-4-7(2,5-8)11-10/h3-5,10H,1-2H3"
C715CO2OOH,"InChI=1S/C7H10O4/c1-2-6(9)3-4-7(5-8)11-10/h3-5,7,10H,2H2,1H3"
C716OOH,"InChI=1S/C7H10O5/c1-5(9)7(12-11)4-6(10)2-3-8/h3,7,11H,2,4H2,1H3"
C717OOH,"InChI=1S/C7H10O5/c1-5(9)7(10)4-6(12-11)2-3-8/h3,6,11H,2,4H2,1H3"
C718OOH,"InChI=1S/C7H12O4/c1-7(2,5-8)6(9)3-4-11-10/h5,10H,3-4H2,1-2H3"
C731OOH,"InChI=1S/C7H12O4/c1-6(9)7(2-4-8)3-5-11-10/h4,7,10H,2-3,5H2,1H3"
C735OOH,"InChI=1S/C7H10O5/c1-6(10)7(12-11,2-4-8)3-5-9/h4-5,11H,2-3H2,1H3"
C736CO,"InChI=1S/C7H8O3/c1-6(3-2-4-8)7(10)5-9/h4-5H,1-3H2"
C736OOH,"InChI=1S/C7H10O4/c1-6(3-2-4-8)7(9)5-11-10/h4,10H,1-3,5H2"
C7CO2DBAL,"InChI=1S/C7H8O3/c1-2-6(9)3-4-7(10)5-8/h3-5H,2H2,1H3"
C7CO2DCO3H,"InChI=1S/C7H8O5/c1-2-5(7(10)12-11)3-6(9)4-8/h3-4,11H,2H2,1H3"
C7DDICARB,"InChI=1S/C7H10O2/c1-3-7(9)4-6(2)5-8/h4-5H,3H2,1-2H3"
CO235C6CHO,"InChI=1S/C7H8O4/c1-5(9)7(11)4-6(10)2-3-8/h3H,2,4H2,1H3"
CO25C6CHO,"InChI=1S/C7H10O3/c1-6(9)2-3-7(10)4-5-8/h5H,2-4H2,1H3"
IC7DICARB,"InChI=1S/C7H10O2/c1-6(2)7(9)4-3-5-8/h3-6H,1-2H3"
MC6CO2OOH,"InChI=1S/C7H10O4/c1-6(9)7(2,11-10)4-3-5-8/h3-5,10H,1-2H3"
C4DBMECO3H,"InChI=1S/C8H10O5/c1-3-6(7(10)4-9)5(2)8(11)13-12/h4,12H,3H2,1-2H3"
C6CO4M2DB,"InChI=1S/C8H8O4/c1-5(7(11)3-9)6(2)8(12)4-10/h3-4H,1-2H3"
C6ETCO4DB,"InChI=1S/C8H8O4/c1-2-6(8(12)5-10)3-7(11)4-9/h3-5H,2H2,1H3"
C718CO3H,"InChI=1S/C8H12O5/c1-8(2,5-9)6(10)3-4-7(11)13-12/h5,12H,3-4H2,1-2H3"
C731CO3H,"InChI=1S/C8H12O5/c1-6(10)7(4-5-9)2-3-8(11)13-12/h5,7,12H,2-4H2,1H3"
C7M6CO2OOH,"InChI=1S/C8H12O4/c1-3-7(10)4-5-8(2,6-9)12-11/h4-6,11H,3H2,1-2H3"
C7MCO2DBAL,"InChI=1S/C8H10O3/c1-6(2)8(11)4-3-7(10)5-9/h3-6H,1-2H3"
C7MCO2OOH,"InChI=1S/C8H12O4/c1-6(2)8(10)4-3-7(5-9)12-11/h3-7,11H,1-2H3"
C815CO2OOH,"InChI=1S/C8H12O4/c1-2-3-7(10)4-5-8(6-9)12-11/h4-6,8,11H,2-3H2,1H3"
C817CO,"InChI=1S/C8H12O3/c1-6(10)3-4-8(5-9)7(2)11/h5,8H,3-4H2,1-2H3"
C830CO,"InChI=1S/C8H12O2/c1-8(2)5-7(10)6(8)3-4-9/h4,6H,3,5H2,1-2H3"
C831CO,"InChI=1S/C8H12O3/c1-8(2,4-6-10)7(11)3-5-9/h5-6H,3-4H2,1-2H3"
C86OOH,"InChI=1S/C8H14O4/c1-6(10)7(4-5-9)8(2,3)12-11/h5,7,11H,4H2,1-3H3"
C87CO,"InChI=1S/C8H10O4/c1-8(2,5-11)6(3-9)7(12)4-10/h3-6H,1-2H3"
C87OOH,"InChI=1S/C8H12O5/c1-8(2,5-10)6(3-9)7(11)4-13-12/h3,5-6,12H,4H2,1-2H3"
C8CO2DBAL,"InChI=1S/C8H10O3/c1-2-3-7(10)4-5-8(11)6-9/h4-6H,2-3H2,1H3"
C8CO2DCO3H,"InChI=1S/C8H10O5/c1-2-3-6(8(11)13-12)4-7(10)5-9/h4-5,12H,2-3H2,1H3"
C8CO4DB,"InChI=1S/C8H8O4/c1-5(3-7(11)4-9)8(12)6(2)10/h3-4H,1-2H3"
C8DCO2CO3H,"InChI=1S/C8H10O5/c1-5(2)7(8(11)13-12)3-6(10)4-9/h3-5,12H,1-2H3"
CO4DBC8,"InChI=1S/C8H8O4/c1-5(8(12)4-9)3-7(11)6(2)10/h3-4H,1-2H3"
MC7CO2OOH,"InChI=1S/C8H12O4/c1-3-7(10)8(2,12-11)5-4-6-9/h4-6,11H,3H2,1-2H3"
C6CO4MEDB,"InChI=1S/C9H10O4/c1-3-7(9(13)5-11)6(2)8(12)4-10/h4-5H,3H2,1-2H3"
C6IPRCO4DB,"InChI=1S/C9H10O4/c1-6(2)8(9(13)5-11)3-7(12)4-10/h3-6H,1-2H3"
C6PRCO4DB,"InChI=1S/C9H10O4/c1-2-3-7(9(13)6-11)4-8(12)5-10/h4-6H,2-3H2,1H3"
C7CO4EDB,"InChI=1S/C9H10O4/c1-3-7(4-8(12)5-10)9(13)6(2)11/h4-5H,3H2,1-2H3"
C7ECO4DB,"InChI=1S/C9H10O4/c1-3-7(9(13)5-10)4-8(12)6(2)11/h4-5H,3H2,1-2H3"
C827CHO,"InChI=1S/C9H14O3/c1-7(11)4-5-8(12)9(2,3)6-10/h6H,4-5H2,1-3H3"
C828CHO,"InChI=1S/C9H12O4/c1-6(11)4-7(12)8(13)9(2,3)5-10/h5H,4H2,1-3H3"
C87CO3H,"InChI=1S/C9H12O6/c1-9(2,5-11)6(4-10)7(12)3-8(13)15-14/h4-6,14H,3H2,1-2H3"
C88CHO,"InChI=1S/C9H12O3/c1-9(2)6(5-10)7(11)3-4-8(9)12/h5-6H,3-4H2,1-2H3"
C914CO,"InChI=1S/C9H10O4/c1-9(2)5(4-10)6(11)3-7(12)8(9)13/h4-5H,3H2,1-2H3"
C914OOH,"InChI=1S/C9H12O5/c1-9(2)5(4-10)6(11)3-7(12)8(9)14-13/h4-5,8,13H,3H2,1-2H3"
C915OOH,"InChI=1S/C9H14O4/c1-9(2)6(5-10)7(11)3-4-8(9)13-12/h5-6,8,12H,3-4H2,1-2H3"
C916OOH,"InChI=1S/C9H14O5/c1-9(2,14-13)7(6-11)8(12)4-3-5-10/h5-7,13H,3-4H2,1-2H3"
C918OOH,"InChI=1S/C9H14O4/c1-9(2)6(5-8(9)13-12)7(11)3-4-10/h4,6,8,12H,3,5H2,1-2H3"
C919OOH,"InChI=1S/C9H14O5/c1-9(2,14-13)7(3-5-10)8(12)4-6-11/h5-7,13H,3-4H2,1-2H3"
C926OOH,"InChI=1S/C9H14O5/c1-7(11)3-4-9(14-13,5-6-10)8(2)12/h6,13H,3-5H2,1-2H3"
C930OOH,"InChI=1S/C9H14O5/c1-9(2,14-13)6-8(12)7(11)4-3-5-10/h5,13H,3-4,6H2,1-2H3"
CO4DBC9,"InChI=1S/C9H10O4/c1-5(8(12)4-10)6(2)9(13)7(3)11/h4H,1-3H3"
LMLKACO,"InChI=1S/C9H12O4/c1-6(11)8(3-4-10)5-9(13)7(2)12/h4,8H,3,5H2,1-2H3"
LMLKAOOH,"InChI=1S/C9H14O5/c1-6(11)8(3-4-10)5-9(14-13)7(2)12/h4,8-9,13H,3,5H2,1-2H3"
LMLKBCO,"InChI=1S/C9H12O4/c1-7(12)8(4-5-10)2-3-9(13)6-11/h5-6,8H,2-4H2,1H3"
LMLKBOOH,"InChI=1S/C9H14O5/c1-7(11)8(4-5-10)2-3-9(12)6-14-13/h5,8,13H,2-4,6H2,1H3"
NORLIMAL,"InChI=1S/C9H14O2/c1-7(2)9(6-10)5-4-8(3)11/h6,9H,1,4-5H2,2-3H3"
C1010OOH,"InChI=1S/C10H16O4/c1-8(5-4-6-11)9(12)7-10(2,3)14-13/h6,13H,1,4-5,7H2,2-3H3"
C1012CO,"InChI=1S/C10H16O3/c1-8(12)4-5-9(13)10(2,3)6-7-11/h7H,4-6H2,1-3H3"
C1012OOH,"InChI=1S/C10H18O4/c1-8(12)4-5-9(14-13)10(2,3)6-7-11/h7,9,13H,4-6H2,1-3H3"
C106OOH,"InChI=1S/C10H16O5/c1-7(12)9(10(2,3)15-14)6-8(13)4-5-11/h5,9,14H,4,6H2,1-3H3"
C107OOH,"InChI=1S/C10H16O4/c1-7(12)10(14-13)6-8(4-5-11)9(10,2)3/h5,8,13H,4,6H2,1-3H3"
C108OOH,"InChI=1S/C10H16O5/c1-7(12)9(13)6-8(4-5-11)10(2,3)15-14/h5,8,14H,4,6H2,1-3H3"
