MSE,R2
4.956588920138425e+17,-2.2069912955372076e+21
2.264601833403512e+19,-1.1328449181916548e+23
2.197040008278314e+16,-1.0325945715361802e+20
1.597840428432e+18,-1.068340785540343e+22
5.808611564785367e+21,-4.5093955016714155e+25
3.940556274733665e+18,-3.4787652434577525e+22
3.115632066564127e+18,-2.294651029412772e+22
7.565974423569729e+17,-4.1145578371660167e+21
15519.204414145877,-80277494.60727468
1.1607007218320466e+16,-1.311616595000666e+20
