mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.015288877487182616,0.0016787018083099779,2.439578056335449,0.07854207708445113,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7802447495865072,0.805422906294172,0.8204328655642263,0.7957397964980804,0.814431764126488,0.8032544164138947,0.01421723493121034,11
0.016398811340332033,0.0019132553883319727,2.492150402069092,0.13703642330726665,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7956222404555073,0.8215014298666644,0.833861763708492,0.8130051578068177,0.8306284108014734,0.8189238005277911,0.013746111101807417,4
0.01408228874206543,0.003540313090671251,0.47090702056884765,0.02212083715263703,3,2,uniform,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7582009783962507,0.7945728972061168,0.8015744622427633,0.7756446547658653,0.7928882400393029,0.7845762465300599,0.01570598420236672,16
0.010832691192626953,0.0008733714764474952,0.4008974075317383,0.03822955987075823,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.7748875126913481,0.8107104990247027,0.8178940392947084,0.7925235982334703,0.8127383327915786,0.8017507964071615,0.015927232753073277,12
0.014951276779174804,0.004187301092124612,2.420030689239502,0.1270990573766394,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.7879613243599368,0.8078978044753077,0.820134084121598,0.8046721555318697,0.8157505324466148,0.8072831801870655,0.01111189553219398,9
0.01363964080810547,0.0014678238333360677,2.476961040496826,0.04203186467087585,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.808613263050706,0.8288639110787097,0.8412458115716014,0.8271981924593812,0.8381084582219607,0.8288059272764718,0.011415950815993543,3
0.014449882507324218,0.004150699556209615,0.36774239540100095,0.03410386081843218,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.7718174895178629,0.7990471422083754,0.8060615734294148,0.7864469953979787,0.8004238869688901,0.7927594175045043,0.012277116493879426,13
0.016878509521484376,0.003603827622399951,0.39112157821655275,0.0040801751825724,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.791246608717967,0.8199015578494415,0.8290401226739846,0.8103087619703464,0.8251258428716989,0.8151245788166877,0.0134895271981985,7
0.013881969451904296,0.003760840746693746,2.3723676681518553,0.08705827113334261,7,1,uniform,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.7909546053471169,0.8079277702998713,0.8188976922954806,0.7994013856881148,0.8162891905191587,0.8066941288299485,0.010425264920880443,10
0.010427474975585938,0.0011581280288734826,2.36242561340332,0.11198123655368052,7,1,distance,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.8158248780737027,0.8318036164243158,0.8436776762830231,0.827721508863921,0.8414578441636134,0.8320971047617153,0.010057339759214906,2
0.01072230339050293,0.0011242865120669819,0.3500298023223877,0.017843896519503733,7,2,uniform,"{'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.7729922085682747,0.7937324122439362,0.803381409754049,0.7884527081526103,0.7998279158175108,0.7916773309072761,0.010650566595858372,14
0.01104273796081543,0.0010285390943183305,0.3482819080352783,0.01560591490627856,7,2,distance,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.7981385984125309,0.8189282537790951,0.8303460277656824,0.816387981546391,0.8276325677795345,0.8182866858566469,0.0113378600388982,6
0.010629844665527344,0.001464843171027685,2.144977569580078,0.0563520815051023,9,1,uniform,"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.795040935378556,0.8055904293256033,0.8200920497356328,0.7984099207221355,0.8176976729439293,0.8073662016211713,0.010039591950520751,8
0.014736127853393555,0.0061488559021917934,1.9973620891571044,0.06567435556087303,9,1,distance,"{'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.8212624849095663,0.8311748806081524,0.8465607644387828,0.8286968794421121,0.8441518113132148,0.8343693641423657,0.009575997126003032,1
0.012355327606201172,0.001495302094836099,0.35979199409484863,0.015183690930962284,9,2,uniform,"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.7737818062275336,0.7914301733838479,0.8011864043133506,0.7821590840323376,0.8030660719782516,0.7903247079870643,0.011152451482784988,15
0.012231397628784179,0.0025451818627997905,0.3691445827484131,0.02109537695466862,9,2,distance,"{'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.8021191660441175,0.8183398814124193,0.8289284701700091,0.8148772339704524,0.8303339678375187,0.8189197438869034,0.010289768247831042,5
