Compound,SMILES,InChI,logS,Temperature,logS-dataSource,HenryConstant,HenryConstant-dataSource,nIsomers
"(E)-2-methyl-1-butene-1,3,4-triol",O,InChI=1S/H2O/h1H2,,25.0,,207900043.3333333,https://doi.org/10.5194/acp-23-10901-2023,1
"(Z)-2-methyl-1-butene-1,3,4-triol",O,InChI=1S/H2O/h1H2,,25.0,,261233376.66666663,https://doi.org/10.5194/acp-23-10901-2023,1
2-methylthreitol,O,InChI=1S/H2O/h1H2,,25.0,,176674666.66666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:H134M3C5,O,InChI=1S/H2O/h1H2,,25.0,,947666.6666666666,https://doi.org/10.5194/acp-23-10901-2023,1
"3-methyl-2,5-hexanediol",O,InChI=1S/H2O/h1H2,,25.0,,3426.6666666666665,https://doi.org/10.5194/acp-23-10901-2023,1
"3,6-decanediol",O,InChI=1S/H2O/h1H2,,25.0,,1040.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:APINBOH,O,InChI=1S/H2O/h1H2,,25.0,,3416.6666666666665,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:APINCOH,O,InChI=1S/H2O/h1H2,,25.0,,77266.66666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:BPINAOH,O,InChI=1S/H2O/h1H2,,25.0,,763.3333333333334,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:BPINCOH,O,InChI=1S/H2O/h1H2,,25.0,,135533.33333333334,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HO36C11,O,InChI=1S/H2O/h1H2,,25.0,,813.3333333333334,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HO36C12,O,InChI=1S/H2O/h1H2,,25.0,,640.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C524OH,O,InChI=1S/H2O/h1H2,,25.0,,475000.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:ISOPAOH,O,InChI=1S/H2O/h1H2,,25.0,,36533.333333333336,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:ISOPBOH,O,InChI=1S/H2O/h1H2,,25.0,,353.6666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:ISOPDOH,O,InChI=1S/H2O/h1H2,,25.0,,493.3333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C622OH,O,InChI=1S/H2O/h1H2,,25.0,,2020.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C624OH,O,InChI=1S/H2O/h1H2,,25.0,,1823.3333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C720OH,O,InChI=1S/H2O/h1H2,,25.0,,55833.333333333336,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:LIMAOH,O,InChI=1S/H2O/h1H2,,25.0,,2636.6666666666665,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:LIMCOH,O,InChI=1S/H2O/h1H2,,25.0,,2063.333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:BCAOH,O,InChI=1S/H2O/h1H2,,25.0,,7846.666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:BCCOH,O,InChI=1S/H2O/h1H2,,25.0,,8193.333333333334,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:ECATECHOL,O,InChI=1S/H2O/h1H2,,25.0,,3360.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:MXYCATECH,O,InChI=1S/H2O/h1H2,,25.0,,2766.6666666666665,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:OXYCATECH,O,InChI=1S/H2O/h1H2,,25.0,,2903.333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PXYCATECH,O,InChI=1S/H2O/h1H2,,25.0,,2926.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:IPCATECHOL,O,InChI=1S/H2O/h1H2,,25.0,,2730.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:METCATECH,O,InChI=1S/H2O/h1H2,,25.0,,2210.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:OETCATECH,O,InChI=1S/H2O/h1H2,,25.0,,2313.333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PCATECHOL,O,InChI=1S/H2O/h1H2,,25.0,,2586.6666666666665,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PETCATECH,O,InChI=1S/H2O/h1H2,,25.0,,2314.333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:T123CATECH,O,InChI=1S/H2O/h1H2,,25.0,,2670.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:T124CATECH,O,InChI=1S/H2O/h1H2,,25.0,,2616.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:ACO3H,O,InChI=1S/H2O/h1H2,,25.0,,94.73333333333332,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:IC3H7OOH,O,InChI=1S/H2O/h1H2,,25.0,,5.3,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:NC3H7OOH,O,InChI=1S/H2O/h1H2,,25.0,,4.833333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PERPROACID,O,InChI=1S/H2O/h1H2,,25.0,,34.45433333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C3DBCO3H,O,InChI=1S/H2O/h1H2,,25.0,,110.018,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:IC4H9OOH,O,InChI=1S/H2O/h1H2,,25.0,,3.9333333333333336,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:MACO3H,O,InChI=1S/H2O/h1H2,,25.0,,62.953333333333326,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:NC4H9OOH,O,InChI=1S/H2O/h1H2,,25.0,,3.9666666666666655,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PERBUACID,O,InChI=1S/H2O/h1H2,,25.0,,26.947,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PERIBUACID,O,InChI=1S/H2O/h1H2,,25.0,,30.741333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:SC4H9OOH,O,InChI=1S/H2O/h1H2,,25.0,,3.6,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:BUT2CO3H,O,InChI=1S/H2O/h1H2,,25.0,,25.006,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C3ME3CO3H,O,InChI=1S/H2O/h1H2,,25.0,,25.109333333333336,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:IPEAOOH,O,InChI=1S/H2O/h1H2,,25.0,,3.333333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:IPEBOOH,O,InChI=1S/H2O/h1H2,,25.0,,3.266666666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:IPECOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.0933333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:NEOPOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.5,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PEAOOH,O,InChI=1S/H2O/h1H2,,25.0,,3.2000000000000006,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PEBOOH,O,InChI=1S/H2O/h1H2,,25.0,,3.233333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PECOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.833333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PERPENACID,O,InChI=1S/H2O/h1H2,,25.0,,20.642666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:TBUTCO3H,O,InChI=1S/H2O/h1H2,,25.0,,17.272,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C54CO3H,O,InChI=1S/H2O/h1H2,,25.0,,19.138,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C5H11CO3H,O,InChI=1S/H2O/h1H2,,25.0,,19.141666666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:CHEXOOH,O,InChI=1S/H2O/h1H2,,25.0,,18.666666666666668,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HEXAOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.7000000000000006,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HEXBOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.5333333333333337,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HEXCOOH,O,InChI=1S/H2O/h1H2,,25.0,,2.3000000000000003,https://doi.org/10.5194/acp-23-10901-2023,1
