,MSE,R2
StandardScaler(),0.0017745812466138323,0.34837294232433536
RobustScaler(),0.0017106016315636468,0.37186628667581345
MaxAbsScaler(),0.002390475767929315,0.12221618814406054
PowerTransformer(standardize=False),0.0022746589414579287,0.16474418059686569
None,0.0014833364084455153,0.45531818212160025
normalize,0.001566419931843621,0.42480987375502577
MinMaxScaler(),0.0035156557940799575,-0.2909504398674898
