mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.510536527633667,0.006082850979134499,0.013211202621459962,0.005379810560244809,0.1,linear,50,"{'learning_rate': 0.1, 'loss': 'linear', 'n_estimators': 50}",0.5800695461675286,0.5478743408213006,0.5104596040393805,0.5645548972908783,0.4621176196651595,0.5330152015968495,0.04234354701929197,1
1.0312935352325439,0.01241667060931159,0.017177534103393555,0.003642747579270764,0.1,linear,100,"{'learning_rate': 0.1, 'loss': 'linear', 'n_estimators': 100}",0.5597613675268069,0.5352855403627106,0.5287354872245487,0.5566738483064253,0.4261562307472294,0.5213224948335442,0.049058744466360556,5
1.9787938117980957,0.03144248343659896,0.03733015060424805,0.0027480320819740596,0.1,linear,200,"{'learning_rate': 0.1, 'loss': 'linear', 'n_estimators': 200}",0.5465668084348012,0.5006059329474397,0.5236051064777927,0.5276644568946338,0.40266938836981514,0.5002223386248964,0.05092024905207852,12
0.5200314998626709,0.018650914791051854,0.012763690948486329,0.005042341393345948,0.1,square,50,"{'learning_rate': 0.1, 'loss': 'square', 'n_estimators': 50}",0.5702501064202203,0.5210337081704969,0.5351154426030742,0.5438528630535577,0.42463889486289663,0.5189782030220492,0.049823884747002146,7
0.9991246223449707,0.02066218166874956,0.015429115295410157,0.003694533688171486,0.1,square,100,"{'learning_rate': 0.1, 'loss': 'square', 'n_estimators': 100}",0.5262239472902153,0.49772059231815347,0.5339914405939867,0.5109814430754156,0.4241321855084107,0.4986099217572363,0.03928145853875173,15
1.859846591949463,0.024833246140230955,0.035751962661743165,0.004136444352855387,0.1,square,200,"{'learning_rate': 0.1, 'loss': 'square', 'n_estimators': 200}",0.49613412377160104,0.4777493526818136,0.5200379643410281,0.4875488500988221,0.38015759431325824,0.4723255770413046,0.04816517668230295,22
0.52867751121521,0.0036198391402248844,0.008601665496826172,0.002208929419502563,0.1,exponential,50,"{'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 50}",0.5847936497645254,0.5440054521164572,0.5268916102665637,0.5559907751947559,0.4458413279910095,0.5315045630666624,0.046808210283393964,2
1.038695478439331,0.004553967159566725,0.020851612091064453,0.0023131295691396388,0.1,exponential,100,"{'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 100}",0.5601955743480455,0.5350498322298144,0.5278526176364796,0.5519434290806056,0.44233635742413613,0.5234755621438162,0.042179311586513904,4
1.9689573764801025,0.030186339864204086,0.03754944801330566,0.003513855491280032,0.1,exponential,200,"{'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 200}",0.5283300011160899,0.5034701297288625,0.5371028243273959,0.5268022283453087,0.4217395972242397,0.5034889561483793,0.04236374947644298,11
0.5165881156921387,0.007929472693651973,0.007567977905273438,0.004169736055059096,0.2,linear,50,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 50}",0.5568981765544998,0.5261420382194566,0.5230788956930412,0.5587014713441687,0.43830487226265546,0.5206250908147643,0.04376899302660724,6
0.9795966625213623,0.009633236738271173,0.0187255859375,0.00253290919695176,0.2,linear,100,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 100}",0.5276734907988313,0.5067580869217967,0.5383056755568278,0.5241548353825308,0.4307061115671027,0.5055196400454178,0.03875973562101165,9
1.730858039855957,0.27629820671032834,0.032687711715698245,0.006776666749441958,0.2,linear,200,"{'learning_rate': 0.2, 'loss': 'linear', 'n_estimators': 200}",0.49389335900277154,0.4943572336177414,0.5246535026388979,0.48926791223226074,0.4200415233242688,0.4844427061631881,0.03456968559768312,16
0.5035395145416259,0.009464718374784837,0.00823068618774414,0.00328885117047428,0.2,square,50,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 50}",0.5388239228743563,0.48045887648698105,0.5238359811866722,0.5295831882450528,0.42591692538909076,0.49972377883643054,0.042000933262317346,13
0.9277947902679443,0.012450028461148625,0.01967339515686035,0.0035232422586794158,0.2,square,100,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 100}",0.49919938783484696,0.46841696435589764,0.5038816571804224,0.49194461770613707,0.36283934270223916,0.4652563939559086,0.052641315850424794,23
1.7507510662078858,0.02129150410770871,0.03637123107910156,0.007952392434517019,0.2,square,200,"{'learning_rate': 0.2, 'loss': 'square', 'n_estimators': 200}",0.4508381692682909,0.44931074143529404,0.49232742830314413,0.4657237481118205,0.3661499877544826,0.4448700149746065,0.04228301282619941,30
0.5256668567657471,0.01671222202947602,0.010688495635986329,0.002214588933693155,0.2,exponential,50,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 50}",0.5716869726748609,0.5273703600295812,0.5380135463333791,0.5567844544465488,0.440622706062758,0.5268956079094256,0.04575250166338259,3
1.0067097663879394,0.012918871371336859,0.019228458404541016,0.004317697796295674,0.2,exponential,100,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 100}",0.5225828322760406,0.5008161096968287,0.5175739750762385,0.5290753117703031,0.42681809763766776,0.4993732652914157,0.03746597270740698,14
1.8547589778900146,0.013463212795203143,0.03672523498535156,0.0033235936880937657,0.2,exponential,200,"{'learning_rate': 0.2, 'loss': 'exponential', 'n_estimators': 200}",0.4821724901473401,0.4955137640326659,0.5174209077486588,0.49125024058036715,0.37541521531319266,0.47235452356444496,0.049835729102931776,21
