mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_early_stopping_rounds,param_learning_rate,param_max_bin,param_n_estimators,param_num_leaves,param_num_threads,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23.10148401260376,1.627234368424099,0.023327970504760744,0.00026428131562851253,gbdt,0,0.1,255,400,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 400, 'num_leaves': 31, 'num_threads': 4}",0.8516033437463821,0.8608570305413956,0.8755111241124319,0.8466357769187147,0.8643884622815932,0.8597991475201034,0.010094480273807991,3
35.12597141265869,2.5062584464699538,0.03192639350891113,0.0006844026306662779,gbdt,0,0.1,255,400,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 400, 'num_leaves': 50, 'num_threads': 4}",0.8509637424792366,0.8626725063030802,0.8763884560099191,0.8501301407144302,0.8572015665763291,0.859471282416599,0.009604429924147418,4
36.481059885025026,2.647414087629957,0.035958290100097656,0.0031613831459018247,gbdt,0,0.1,255,600,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 600, 'num_leaves': 31, 'num_threads': 4}",0.8520415444941223,0.8628175098737252,0.8764396225859548,0.8490457710557187,0.8655762371867167,0.8611841370392476,0.009855102404174927,1
49.881219434738156,1.2476667756130184,0.05045099258422851,0.0008309073548716972,gbdt,0,0.1,255,600,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 600, 'num_leaves': 50, 'num_threads': 4}",0.8501263263269219,0.8630467038368442,0.8761482103797031,0.8502657480092204,0.8572222822863902,0.859361854167816,0.009674417414396168,5
39.82360033988952,4.040854297519292,0.04751429557800293,0.0013952850598314024,gbdt,0,0.1,255,800,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 800, 'num_leaves': 31, 'num_threads': 4}",0.8516345153668401,0.8631752126553228,0.8762100996135557,0.8488743957027969,0.8657567678632905,0.8611301982403612,0.009933411749572603,2
64.04788637161255,4.404856058787087,0.06984915733337402,0.0017296775499324134,gbdt,0,0.1,255,800,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.1, 'max_bin': 255, 'n_estimators': 800, 'num_leaves': 50, 'num_threads': 4}",0.8493315813237635,0.8631752222639205,0.8757898126775698,0.8497898942758301,0.8569741137343453,0.8590121248550858,0.009815682736837235,6
20.539255571365356,1.560790528777202,0.022297382354736328,0.0008085804614563742,gbdt,0,0.2,255,400,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 400, 'num_leaves': 31, 'num_threads': 4}",0.8462150204630281,0.8617805111806147,0.8690456684866669,0.8418462266880827,0.8592273556763808,0.8556229564989547,0.010093402943812254,7
30.674005126953126,0.5477380101916149,0.03321080207824707,0.0020186383525817933,gbdt,0,0.2,255,400,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 400, 'num_leaves': 50, 'num_threads': 4}",0.8387974685813804,0.8555231562015959,0.8706584524347263,0.838220281518175,0.8519473922457972,0.851029350196335,0.012000249301967046,10
29.787314462661744,0.7745812210030902,0.036120367050170896,0.000325321723969858,gbdt,0,0.2,255,600,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 600, 'num_leaves': 31, 'num_threads': 4}",0.844361528309918,0.8618490831507009,0.8683141803159529,0.8415515864154938,0.8588768287373181,0.8549906413858768,0.01032708679610793,8
46.75306696891785,1.3735901235288583,0.051474380493164065,0.0013067294099678604,gbdt,0,0.2,255,600,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 600, 'num_leaves': 50, 'num_threads': 4}",0.8375973711761459,0.8548230390297719,0.8698847794026754,0.8376174322842448,0.8515611376157229,0.8502967519017121,0.012064959051341228,11
37.73620595932007,2.230294564660625,0.048198890686035153,0.0008330416174128957,gbdt,0,0.2,255,800,31,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 800, 'num_leaves': 31, 'num_threads': 4}",0.8436340602514123,0.8620802833619217,0.8676832178011156,0.840952160913074,0.858244678123607,0.8545188800902261,0.010458406665876415,9
61.43490242958069,1.2543620668733877,0.07254672050476074,0.004820832024688725,gbdt,0,0.2,255,800,50,4,"{'boosting_type': 'gbdt', 'early_stopping_rounds': 0, 'learning_rate': 0.2, 'max_bin': 255, 'n_estimators': 800, 'num_leaves': 50, 'num_threads': 4}",0.8370752059849956,0.8546233080586081,0.8697224719394744,0.8371281943524871,0.8511219965908857,0.8499342353852901,0.012200998395156051,12
