mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006335067749023438,0.0012753449265015884,0.6050373554229737,0.0048682000972080485,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.858307770875882,0.8345177562038785,0.8385480804643194,0.8359609400221214,0.8431466927979524,0.8420962480728308,0.008620695366121563,4
0.007092618942260742,0.001650225073117106,0.6005920886993408,0.017096095195318448,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.8591679417892936,0.8435163311859546,0.8456365456393454,0.834132410756592,0.8494277911748946,0.8463762041092162,0.008143429006829362,2
0.005934906005859375,0.002632861304060458,0.18163423538208007,0.006873556512013355,3,2,uniform,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.8289368365215443,0.8359413637289224,0.8059621458517389,0.8114222613092619,0.8164748802972149,0.8197474975417365,0.011106221284909325,10
0.006150341033935547,0.0012365107859214066,0.0942612648010254,0.0475128797235391,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.8357037870756212,0.8468973711823903,0.8208211808555335,0.8168787918064355,0.8269301135193858,0.8294462488878732,0.010792239496583976,7
0.006992340087890625,0.0031807552828764293,0.48122401237487794,0.004274525838971397,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.8503640938113367,0.836713103152815,0.8290526739731139,0.8351071819590012,0.8278062898082265,0.8358086685408986,0.008035571145552537,6
0.005166769027709961,0.0035577231667972037,0.48142437934875487,0.009538842968323592,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.8602506289554597,0.8486995175357521,0.8461178712531398,0.8413542200265156,0.84449833783941,0.8481841151220554,0.006486419361388164,1
0.005663442611694336,0.004429718054451346,0.07125682830810547,0.009503132832855778,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8194188720168979,0.8238915596533081,0.7950101927659939,0.8062945510111881,0.7884672822771305,0.8066164915449037,0.013612733289076848,14
0.0068607330322265625,0.0023789169983603766,0.07448778152465821,0.004175695506526142,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.8373464237140602,0.8428583051196723,0.81553601844472,0.8178478969815494,0.8124880861165107,0.8252153460753024,0.012396684105894965,9
0.004216766357421875,0.0016987744316115346,0.4967177867889404,0.013333440136453956,7,1,uniform,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.8406941960332325,0.8271295696886384,0.8222193968977951,0.8234312414319144,0.8129963200299298,0.8252941448163021,0.008996569793030096,8
0.004631423950195312,0.00253094104178109,0.521477222442627,0.01792492448559092,7,1,distance,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.8584780880924896,0.8461771894228602,0.8436686343626413,0.8402337179959181,0.8364416454778671,0.8449998550703552,0.0074937313027685715,3
0.001854085922241211,0.0027475917122590145,0.06491637229919434,0.005772291093693072,7,2,uniform,"{'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.8089723620066461,0.8104648674860844,0.7816058094559605,0.7901199426565344,0.7730592221208485,0.7928444407452148,0.014803877072242117,15
0.006347036361694336,0.0037038127611951706,0.06584758758544922,0.010772066092105575,7,2,distance,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.8330057745399413,0.8366329312243126,0.8075257926944235,0.8130333847849912,0.8076697279200438,0.8195735222327425,0.01265756960153814,11
0.0027351856231689455,0.002316890026038908,0.4779345512390137,0.009601176187352841,9,1,uniform,"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.831242966950879,0.8176559425271563,0.8104881218580782,0.8102915062127474,0.8046042668565896,0.8148565608810902,0.009180232653608357,12
0.006821584701538086,0.002190661612903496,0.4239024639129639,0.011632334683062129,9,1,distance,"{'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.8533660743804733,0.8438510149853309,0.8390211985004117,0.8314841202129575,0.8337410647667876,0.8402926945691922,0.007819289499486745,5
0.003416156768798828,0.0018101669602620916,0.07929024696350098,0.017021395199630706,9,2,uniform,"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.7923373394440734,0.794758899610919,0.7691683651268516,0.7804228847417095,0.7776842538676931,0.7828743485582492,0.009503593949566572,16
0.005309057235717773,0.0025023332405628073,0.07691440582275391,0.005494202634446482,9,2,distance,"{'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.8218610848073288,0.8297043834064018,0.7992469302107945,0.8082271478033876,0.8100531210073649,0.8138185334470556,0.01072209313936138,13
